Energieversorgungsunternehmen (EVU),Ökostrom-Tarif,"Label
(laut Website des EVU oder
des Label-Anbieters)"
BS Energy Braunschweiger Versorgungs AG & Co. KG,BS|Naturstrom Gold,Grüner Strom Label (Gold)
BS Energy Braunschweiger Versorgungs AG & Co. KG,BS|Naturstrom,NEIN
BS Energy Braunschweiger Versorgungs AG & Co. KG,E.ON DirektStrom öko,NEIN
E.ON Energie Deutschland GmbH (Lüneburg),E.ON DirektStrom öko 2018,NEIN
E.ON Energie Deutschland GmbH (Lüneburg),E.ON OptimalStrom öko,NEIN
E.ON Energie Deutschland GmbH (Lüneburg),E.ON OptimalStrom öko 2018,NEIN
Eichsfelder Energie- und Wasserversorgungs GmbH,DUDSTROM Öko,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,kein Ökostrom-Tarif,
Elektrizitätsgenossenschaft Hasbergen eG,EW o.k. Naturstrom Kontingent 1000,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,EW o.k. Naturstrom Kontingent 2000,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,EW o.k. Naturstrom Kontingent 500,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,Grundversorgung Naturstrom Kontingent 1000,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,Grundversorgung Naturstrom Kontingent 2000,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,Grundversorgung Naturstrom Kontingent 500,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,Naturstrom EW o.k.,NEIN
Elektrizitätsgenossenschaft Hasbergen eG,Naturstrom GT,NEIN
Energiegenossenschaft für Wittmund eG,EG NaturWatt®,TÜV NORD (Standard A75-S026-1)
Energiegenossenschaft für Wittmund eG,Classic,4KlimaINVEST Ökostrom
Energiegenossenschaft für Wittmund eG,Favorit 24,4KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,Garant 24,4KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,Nachtaktiv,4KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,Natur 24,KlimaINVEST RE
Energieversorgung Dahlenburg-Bleckede AG,Sehnder ÖKOSTROM Fix,KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,Sehnder ÖKOSTROM,KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,EVI BioStrom,KlimaINVEST Ökostrom
Energieversorgung Dahlenburg-Bleckede AG,EVI AquaStrom,NEIN
Energieversorgung Dahlenburg-Bleckede AG,EWE Werder Strom,NEIN
EWE AG,EWE Strom NaturWatt®,TÜV NORD (Standard A75-S026-1)
EWE AG,EWE Strom NaturWatt® fix,TÜV NORD (Standard A75-S026-1)
EWE AG,EWI ÖkoStrom,TÜV Rheinland
EWE AG,EWI ÖkoStrom 2017,TÜV Rheinland
Gemeindewerke Bovenden GmbH & Co. KG,Grund-und Ersatzversorgung,RenewablePLUS
Gemeindewerke Bovenden GmbH & Co. KG,Plesse-Strom,RenewablePLUS
GEW Wilhelmshaven GmbH,havenstrom natur,NEIN
GEW Wilhelmshaven GmbH,regioNATUR.STROM (regioPLUS.STROM),Grüner Strom Label
GEW Wilhelmshaven GmbH,regioNATUR.STROM (regio.STROM),Grüner Strom Label
Harz Energie GmbH & Co. KG,Harz Energie ökoStrom,NEIN
Harz Energie GmbH & Co. KG,LSW • ÖkoStrom,NEIN
Harz Energie GmbH & Co. KG,LSW • VfLÖkoStrom,NEIN
nvb Nordhorner Versorgungsbetriebe GmbH,5cleverstrom fairKlima,4KlimaINVEST Ökostrom
nvb Nordhorner Versorgungsbetriebe GmbH,NATURWATT®,TÜV NORD (Standard A75-S026-1)
nvb Nordhorner Versorgungsbetriebe GmbH,NATURWATT®-FEST,TÜV NORD (Standard A75-S026-1)
RWE Vertrieb AG,6RWE Naturstrom,NEIN
RWE Vertrieb AG,NaturWatt®-Strom,TÜV NORD (Standard A75-S026-1)
RWE Vertrieb AG,NaturWatt®-online,TÜV NORD (Standard A75-S026-1)
Stadtwerke Bad Harzburg GmbH,NaturWatt-Strom®,TÜV NORD (Standard A75-S026-1)
Stadtwerke Bad Harzburg GmbH,7Emmer.strom (Grundversorgung),NEIN
Stadtwerke Bad Pyrmont Energie und Verkehrs GmbH,7Emmer.strom (Pyrmont.comfort),NEIN
Stadtwerke Bad Pyrmont Energie und Verkehrs GmbH,7Emmer.strom (Pyrmont.optional),NEIN
Stadtwerke Bad Sachsa GmbH,NaturWatt Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Bad Salzdetfurth GmbH,kein Ökostrom-Tarif,
Stadtwerke Bad Salzdetfurth GmbH,böhmex•NaturWatt© Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Bad Salzdetfurth GmbH,böhme•NaturWatt© Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Bramsche GmbH,kein Ökostrom-Tarif,
Stadtwerke Buchholz in der Nordheide GmbH,Buchholz NaturWatt-Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Burgdorf GmbH,NaturWatt® Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Buxtehude GmbH,NaturWatt-Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Clausthal-Zellerfeld GmbH,Grund- und Ersatzversorgungstarif,KlimaINVEST Ökostrom
Stadtwerke Clausthal-Zellerfeld GmbH,Clausthaler Privat,KlimaINVEST Ökostrom
Stadtwerke Einbeck GmbH,STROM NaturWatt® (Grundversorgung),TÜV NORD (Standard A75-S026-1)
Stadtwerke Einbeck GmbH,STROM NaturWatt® (Strom Bestpreis),TÜV NORD (Standard A75-S026-1)
Stadtwerke Emden GmbH,,
Stadtwerke Emden GmbH,Naturstrom_privat +,TÜV NORD (Standard 1304)
Stadtwerke Emden GmbH,Naturstrom_privat,TÜV NORD (Standard 1304)
Stadtwerke Garbsen GmbH,NaturWatt®Strom,TÜV NORD (Standard A75-S026-1)
Stadtwerke Georgsmarienhütte GmbH,7Hütterstrom Klima (kombiniert mit HÜTTERstrom Haushalt),TÜV NORD (Standard A75-S026-1)
Stadtwerke Hannover AG,enercity UmweltStrom (incl. Umweltförderung 3 ct/kWh),Grüner Strom Label
