Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
17er Oberlandenergie GmbH,,,true,false,true,,,Viehmarktplatz 1 - 82418 Murnau,
AggerEnergie GmbH,,true,false,false,true,02261 30030,www.aggerenergie.de/de/privatkunden/strom.html,Alexander-Fleming-Str. 2 - 51643 Gummersbach,regional
Ahrtal-Werke GmbH,,,true,false,true,,,Hauptstraße 116 - 53474 Bad Neuenahr-Ahrweiler,
Albwerk GmbH & Co. KG,true,,false,false,true,Tel. 07331 / 209-600,www.albwerk.de,Eybstraße 98-102 - 73312 Geislingen an der Steige,
ASEW Energie und Umwelt Service GmbH & Co. KG,true,,false,false,false,Tel. 0221 / 931819-18,www.asew.de,,
AVIA AG,true,,false,false,false,Tel. 089 / 455045–0,www.avia.de,,
AVU Aktiengesellschaft für Versorgungs-Unternehmen ,true,,false,false,false,Tel. 02332 / 73605,www.avu.de,,
badenova AG & Co. KG,true,,false,false,false,Tel. 08002 / 83 84 85,www.badenova.de,,
BayWa Ökoenergie GmbH,true,,true,false,true,Tel. 0800 / 7241640,www.baywa-oekoenergie.de,Grillparzerstraße 12a - 81675 München,
BayWa r.e. renewable energy GmbH,,,true,false,false,,,,
Benergie-Service GmbH,,,true,false,true,,,Schlachte 45 - 28195 Bremen,
Berliner Stadtwerke GmbH,,,true,false,true,,,Am Köllnischen Park 1 - 10179 Berlin,
Blomberger Versorgungsbetriebe GmbH,true,,false,false,false,Tel. 05235 / 95023051,www.bvb-blomberg.de,,
BS Energy Braunschweiger Versorgungs AG & Co. KG,,true,false,true,false,0531 3830,www.bs-energy.de/privatkunden/produkte/strom/bs-naturstrom-gold/,,bundesweit
Bürgerwerke eG,,true,true,false,true,06221 3928920,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,Hans-Bunte-Straße 8-10 - 69123 Heidelberg,bundesweit
ComMetering GmbH,true,,false,false,false, ,www.commetering.de,,
DB Energie GmbH,true,,false,false,true,Waldemar Schlaht  Tel. 069 / 265-23715,www.dbenergie.de,Pfarrer-Perabo-Platz 2 - 60326 Frankfurt am Main,
Die Energievorsorger GmbH,,,true,false,true,,,An der Mühlenbreede 4 - 49525 Lengerich,
E.ON Energie Deutschland GmbH (Lüneburg),,,,true,false,,,,
EAM GmbH & Co. KG,,,true,false,false,,,,
EGF EnergieGesellschaft Frankenberg mbH,,,true,false,false,,,,
EGT Energiehandel GmbH,true,,false,false,true, ,www.egt.de,Schonacher Straße 2 - 78098 Triberg,
Eichsfelder Energie- und Wasserversorgungs GmbH,,,,true,false,,,,
