Hersteller,Modell,Tarifbeispiel,Varianz Tarif,Mindestvertragslaufzeit (Monate),Kündigungsfrist (Wochen),Preisgarantie bis,Zertifikat,Stromquellen,Grundpreis (€/Monat),Arbeitspreis (Cent/kWh),Gesamtkosten 2-Personen (€/Jahr),Wer steht dahinter?,Column,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75,Column 76,Column 77,Column 78,Column 79,Column 80,Column 81,Column 82,Column 83,Column 84,Column 85,Column 86,Column 87,Column 88,Column 89,Column 90,Column 91,Column 92,Column 93,Column 94,Column 95,Column 96,Column 97,Column 98,Column 99,Column 100,Column 101,Column 102,Column 103,Column 104,Column 105,Column 106,Column 107,Column 108,Column 109,Column 110,Column 111,Column 112,Column 113,Column 114,Column 115,Column 116,Column 117,Column 118,Column 119,Column 120,Column 121,Column 122,Column 123,Column 124,Column 125,Column 126,Column 127,Column 128
123energie,123ökostrom Premium,Ludwigshafen,PLZ-abhängig,12.0,6.0,2 Jahre,OK-Power-Label,100%REG,"10,71","24,14",959.0,Eine Marke der PFALZWERKE AKTIENGESELLSCHAFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa Ökoenergie GmbH,BayWa Ökostrom 12 /24,Ludwigshafen,PLZ-abhängig,"12 bzw. 24, danach monatlich kündbar",4.0,12 Monate / 24 Monate,OK-Power-Label PLUS,100%REG,"8,73","26,99",1.033,BayWa Ökoenergie GmbH gehört zu 100% zu BayWa r.e. renewable energy GmbH u. gehört zum BayWa AG Konzern.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayWa r.e. Green Energy Products GmbH,BayWa r.e.mix flow,Ludwigshafen,PLZ-abhängig,12.0,4.0,1 Jahr,OK-Power-Label PLUS,100%REG,"8,73","26,99",1.033,BayWa r.e. Green Energy Products GmbH gehört zu 100% zu BayWa r.e. renewable energy GmbH u. gehört zum BayWa AG Konzern.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,BS|Naturstrom Gold,Köln,PLZ-abhängig,12.0,4.0,_,Grüner Strom Label,100% REG,"6,50","28,24",1.049,"75%Veolia Stadtwerke Braunschweig-Beteiligungs AG, 25% Stadtwerke Braunschweig GmbH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bürgerinitiative Umweltschutz e.V.,Naturstrom ÖkostromPool,bundesweit,bundesweit einheitlich,keine,4.0,bis 31.12.2018,Grüner Strom Label,100% REG,"8,90","26,75",1.027,"Unabhängiger Verein seit 1971, engagiert in ökologischer Stadtentwicklung und Anti-Atom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bürgerwerke eG,Bürgerstrom,Köln,PLZ-abhängig,1.0,4.0,bis 31.12.2018,Grüner Strom Label,100%REG,"8,90","27,70",1.06,70 Bürgerenergiegenossenschaften sind die Gesellschafter dieses bundesweiten Netzwerks in der Dachgenossenschaft Bürgerwerke eG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB Energie,DB Strom Option Grün Plus 12/24,Köln,PLZ-abhängig,"12 bzw. 24, danach monatlich kündbar",4.0,1 oder 2 Jahre,OK-Power-Label,100%REG,"13,80","21,94",920.0,"DB Energie ist eine Tochter der Deutschen Bahn AG und kümmert sich um die Energieversorgung von Zügen, Bahnanlagen und Immobilien. Sie ist der fünftgrößte Stromversorger in Deutschland und versorgt Industrie, Gewerbe und Handel mit Strom und Gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energieGUT GmbH,HalloNatur!,Ludwigshafen,PLZ-abhängig,3.0,4.0,1 Jahr,OK-Power-Label,100% REG,"9,55","24,57",960.0,100% Tochtergesellschaft der SW Duisburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
energy4u GmbH & Co. KG,ökostrom4u,Ludwigshafen,PLZ-abhängig,1.0,4.0,bis 31.12.2019,OK-Power-Label,100%REG,"8,33","25,59",980.0,energy4u ist ein Kooperationsunternehmen zwischen der Stadt Siegburg und der rhenag Rheinische Energie AG (Energieversorger vom Rhein-Sieg-Kreis bis in den Westerwald).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enspire Energie,Grüner Strom,bundesweit,bundesweit einheitlich,12.0,6.0,12 Monate,Grüner Strom Label,100% REG,"9,30","27,20",1.047,Tochter der Stadtwerke Konstanz GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTEGA Energie GmbH,Ökostrom,Ludwigshafen,PLZ-abhängig,12.0,2.0,1 Jahr,OK-Power-Label,100%REG,"8,00","25,59",976.0,Die ENTEGA Energie GmbH ist eine Vertriebstochter der ENTEGA AG.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVH GmbH,Halplus Strom Öko+,Ludwigshafen,PLZ-abhängig,1.5,6.0,_,OK-Power-Label,100%REG,"7,45","24,66",938.0,Energieversorgung Halle Netz GmbH gehört zu 100% der Stadt Halle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,EWS Ökostrom,bundesweit,bundesweit einheitlich,keine,4.0,bis 31.12.2018,OK-Power-Label,100%REG,"8,95","25,95",1.0,EWS Elektrizitätswerke Schönau eG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fair Trade Power Deutschland GmbH,Fair Student,bundesweit,bundesweit einheitlich,keine,4.0,bis 31.12.2018,Grüner Strom Label,100%REG,"5,90","27,75",1.025,"Fair Trade Power ist eine Neugründung von derzeit drei Privatpersonen, die sich die zur Aufgabe ge-setzt haben, die Energiewende durch echten (Grüner-Strom-Label-zertifizierten) Ökostrom voranzu-bringen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GENO Energie GmbH,GENO Strom NATUR privat PLUS,Ludwigshafen,PLZ-abhängig,24.0,4.0,2 Jahre,OK-Power-Label,100%REG,"11,90","24,70",992.0,"Die GENO Energie GmbH ist Teil der Genossenschaftsorganisation mit über 800 Genossenschaften und 3,4 Millionen Mitgliedern allein in Baden-Württemberg und steht damit für Zuverlässigkeit, Kompetenz und Vertrauen im Energiegeschäft.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenpeace Energy eG,Ökostrom aktiv,bundesweit,bundesweit einheitlich,keine,4.0,bis 31.12.2019,OK-Power-Label PLUS,100% REG,"8,90","28,50",1.087,"Greenpeace Energy eG, unabhängige Energiegenossenschaft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
