Anbieter,Tarif,Verfügbarkeit,Telefon,Website
Agger Energie GmbH,AggerStrom NATUR AggerStrom REGIO natur,regional,02261 30030,www.aggerenergie.de/de/privatkunden/strom.html
BS|ENERGY Braunschweiger Versorgungs-AG & Co.KG,BS|Naturstrom Gold,bundesweit,0531 3830,www.bs-energy.de/privatkunden/produkte/strom/bs-naturstrom-gold/
Bürgerwerke eG,Bürgerstrom,bundesweit,06221 3928920,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/
Elektrizitätsgenossenschaft Dirmstein eG,strom fix natur / strom fix natur plus,regional,06233 6020,www.egdirmstein.de/strom/naturstrom.html
Elektrizitätsversorgung Rheinzabern,Naturstrom,regional,07272 750820,www.evu-rheinzabern.de/stromversorgung/vertraege.php
Elektrizitätsversorgung Waldsee,Naturstrom,regional,--,www.vg-rheinauen.de
Elektrizitätsversorgung Wattenheim,Naturstrom,regional,030 27 572400,www.vg-h.de
Elektrizitätsversorgung Weilerbach,Naturstrom,regional,06374 9220,www.evu-weilerbach.de
Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,Naturstrom,regional,06372 922000,www.bruchmuehlbach-miesau.de
Elektrizitätswerk Mittelbaden AG & Co. KG,NaturEnergie Gold,regional,07821 2800,www.e-werk-mittelbaden.de
enercity - Stadtwerke Hannover AG,enercity ÖkoStrom Premium,regional,0511 4300,https://www.enercity.de/privatkunden/produkte/strom/oekostrom-premium/
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),BonnNatur Strom,regional,0228 7111,www.stadtwerke-bonn.de/energieundwasser/privatkunden/produkte/strom/bonnnatur-strom.html
Energiedienst Holding AG,NaturEnergie Gold,bundesweit (für Kunden >1 GWh)regional (für Kunden <1 GWh),07623 921200,www.naturenergie.de/gold
Energieversorgung Oberes Wiesental GmbH Todtnau,NaturEnergie Gold,regional,07671 999960,www.eow-todtnau.de/
Energieversorung Trossingen GmbH,NaturEnergie Gold,regional,07425 94020,www.swtro.de
Energy Air GmbH,Energy Air Natur,regional,069690 60539,www.fraport.de/content/fraport/de/konzern/fraport-weltweit/beteiligungen/energy-air-gmbh.html
ESDG Energie-Service Dienstleistungsgesellschaft mbH,ESDG - Ökostrom Premium (soz. / kar. Einrichtungen),bundesweit,0761 6007 9699,www.esdg.de
Fair Trade Power Deutschland GmbH,Fair Fair Plus Fair Student Fair Business Fair Big Business Fair Nachtspeicherheizung  Fair Wärmepumpe  Fair PV-Betriebsstrom,bundesweit,089 2112210,Privatpersonen: www.fairtradepower.de//products.php#pr Geschäftskunden: www.fairtradepower.de//products.php#bu Sondertarife: www.fairtradepower.de//products.php#sp
Gemeindewerke Bobenheim-Roxheim GmbH,BoRo naturstrom plus,regional,06233 6020,www.gemeindewerke-boro.de/produkte/strom/naturstrom.html
Gemeindewerke Halstenbek,AquaWatt,regional,04101 4907112,www.gwhalstenbek.de/aquawatt.html
Gemeindewerke Hardt,NaturEnergie Gold,regional,07422 95880,www.hardt-online.de/gemeindewerke
Gemeindewerke Haßloch GmbH,GWH Naturstrom,regional,06324 59940,www.gwhassloch.de/index.php?page=produkte.versorgungsbedingungen#preisblatter_strom
Gemeindewerke Herxheim,Naturstrom,regional,07276 50140,www.gemeindewerke-herxheim.de/de/energieversorgung/mehr-zum-sondertarif-naturstrom/
Gemeindewerke Lambsheim,Ökostrom,regional,06233 51090,www.lambsheim-hessheim.de
Gemeindewerke Münchweiler,Naturstrom,regional,06395 92110,www.gemeindewerke-muenchweiler.de
Gemeindewerke Waldfischbach-Burgalben,Naturstrom,regional,06333 27580,www.energie.waldfischbach-burgalben.de/index.php?view=content&ID_NODE_VIEW=2&ID_NODE_AKTIV=2
GWS Stadtwerke Hameln GmbH,natur.strom,regional,05151 7880,www.stadtwerke-hameln.de/produkte/strom/preise.html#stromtarife
Mainova AG,Mainova ÖkoPremium,regional,0800 1144488,www.mainova.de/geschaeftskunden/mittelstand/produkte/strom/oeko-optionen.html
MANN Naturenergie GmbH & Co. KG,MANN Cent,bundesweit,02661 626215,www.mannstrom.de/mann-cent-tarif
Mindener Stadtwerke GmbH,regio.grünstromPlus,regional,0800 5278941,www.mindener-stadtwerke.de/angebote/oekostrom.html
NaturEnergie + Deutschland GmbH,NaturEnergiePlus active,bundesweit,0800 9999973,www.naturenergieplus.de/oekostrom/tarife/active-002
NATURSTROM AG,naturstrom  BMW Green Energy powered by naturstrom,bundesweit,naturstrom: 0211 77 900 100 BMW Green Energy: 0211 77900240,naturstrom: www.naturstrom.de/privatkunden/strom/ BMW Green Energy: http://strom.naturstrom.de/bmw-green-energy-powered-by-naturstrom-jetzt-wechseln/
NEW Niederrhein Energie und Wasser GmbH,Blauer Himmel,regional,0800 6886881,www.new-energie.de/privatkunden/strom/stromtarife/blauer-himmel
PFALZWERKE AKTIENGESELLSCHAFT,PFALZWERKE naturstrom,regional,0800 2792000,www.pfalzwerke.de
Polarstern GmbH,Wirklich Ökostrom,bundesweit,089 309042911,www.polarstern-energie.de/oekostrom/
PROENGENO GmbH & Co. KG,Naturmix Premium,bundesweit,04902 9157000,www.proengeno.de/privatkunden/oekostrom
Regionalwerk Bodensee GmbH & Co. KG,rw-Ökostrom regional direkt,regional,07542 93790,www.rw-bodensee.de/privatkunden/oekostrom.html
REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,rewario.strom.naturrewario.strom.mobilrewario.strom.mobil+,regional,0800 6016010,rewario.strom.natur: www.rewag.de/privatkunden/strom/rewariostromnatur.htmlrewario.strom.mobil: www.rewag.de/privatkunden/strom/rewariostrommobil.html
RhönEnergie Fulda GmbH,RhönSTROM Natur GSLRhönStrom ÖkoRegio,RhönSTROM Natur GSL: bundesweitRhönStrom ÖkoRegio: regional,RhönSTROM Natur GSL: 0661 12450RhönStrom ÖkoRegio: 0661 12100,RhönSTROM Natur GSL: www.rhoenstrom.deRhönStrom ÖkoRegio: www.re-fd.de/strom/tarife/rhoenstrom-oekoregio
