Anbieter,Tarif,Adresse,Telefon,Website
Albwerk GmbH & Co. KG,AlblineAqua,Eybstraße 98-102 - 73312 Geislingen,Tel. 07331 / 209-600,www.albwerk.de
ASEW Energie und Umwelt Service GmbH & Co. KG,watergreen+,Eupener Str. 74 - 50933 Köln,Tel. 0221 / 931819-18,www.asew.de
AVIA AG,AVIA Strom Öko,Grillparzerstr. 8 - 81675 München,Tel. 089 / 455045–0,www.avia.de
AVU Aktiengesellschaft für Versorgungs-Unternehmen ,Grünstrom,An der Drehbank 18 - 58285 Gevelsberg,Tel. 02332 / 73605,www.avu.de
badenova AG & Co. KG,business öko (100/plus),Tullastr. 61 - 79108 Freiburg,Tel. 08002 / 83 84 85,www.badenova.de
BayWa Ökoenergie GmbH,"Produktfamilie BayWa Ökostrom, BayWa naturPlus, BayWa Öko",Grillparzerstraße 12a - 81675 München,Tel. 0800 / 7241640,www.baywa-oekoenergie.de
Blomberger Versorgungsbetriebe GmbH,Allgemeine Stromlieferung,Nederlandstr. 15 - 32825 Blomberg,Tel. 05235 / 95023051,www.bvb-blomberg.de
ComMetering GmbH,ComMetering Strom,Rathausstraße 4 - 88457 Kirchdorf, ,www.commetering.de
DB Energie GmbH,"Option Grün Plus, DB Strom 12, DB Strom 24",Pfarrer-Perabo-Platz 2 - D-60326 Frankfurt,Waldemar Schlaht  Tel. 069 / 265-23715,www.dbenergie.de
EGT Energiehandel GmbH,EGT purepowerALPINE,Schonacherstr. 2 - 78098 Triberg, ,www.egt.de
Elektrizitätsgenossenschaft Dirmstein eG,strom fix natur,Wormser Straße 111 - 67227 Frankenthal (Pfalz),Tel. 06233 / 602-0,www.egdirmstein.de
Energie- und Wasserversorgung Bruchsal GmbH,Ökostrom für Sondervertragskunden,Schnabel-Henning-Str. 1a - 76646 Bruchsal,Tel. 07251 / 706-444,www.bvb-blomberg.de
Energie- und Wasserversorgung Rheine GmbH,"nahStrom watergreen+, proRheineStrom watergreen+",Hafenbahn 10 - 48431 Rheine,Tel. 05971 / 45193,www.stadtwerke-rheine.de
Energie Aktiengesellschaft Iserlohn,SauerlandStrom NATUR,Stefanstr. 4-8 - 58636 Iserlohn, ,www.energie-ag.de/
Energiegenossenschaft Odenwald eG,NATURpur Ökostrom,Helmholtzstraße 1 - 64711 Erbach, ,www.eg-odenwald.de
energieGUT GmbH,HalloNatur!,Bungertstr. 27 - 47053 Duisburg, ,www.energieGUT.de
Energieversorgung Bad Boll GmbH,"Produktfamilie Bollwerk Natur, Bollwerk Natur Fix / Option: Natur Plus",Sitz:  Hauptstr. 94 73087 Bad Boll - Postanschrift:  Eybstr. 98-102 73312 Geislingen,Tel. 07164 / 808-25,www.energie-bollwerk.de
Energieversorgung Rüsselsheim GmbH,MainÖkoStrom,Walter-Flex-Str. 74 - 65428 Rüsselsheim,Tel. 06142 / 500-222,www.stadtwerke-ruesselsheim.de
Energiewerke Waldbröl GmbH,"Produktfamilie Eww Ökostrom, Eww ÖkoPower Strom (hierbei handelt es sich um den RLM-Tarif, alle anderen Produkte sind SLP)",Nümbrechter Straße 6 - 51545 Waldbröl,Tel. 02291 / 9088-0,www.ew-waldbroel.de
energy4u GmbH & Co. KG,"ökostrom4u, ökostromPro",Bachstraße 3 - 53721 Siegburg,Tel. 0800 / 7878708,www.energy4u.de
enewa GmbH Energie + Wasser Wachtberg,enewa Strom,Am Wachtbergring 2a - 53343 Wachtberg,Tel. 0228 / 377368-0,www.enewa.de
ENTEGA Energie GmbH,"Produkte: ENTEGA Ökostrom-Produktfamilie, e-ben Ökostrom, ENTEGA NaturPur-Produktfamilie, Simply Green, individuelle Geschäftskunden",Frankfurter Str. 100 - 64289 Darmstadt,Tel. 0800 / 1111 0555,www.entega.de
ENTEGA Energie GmbH,"Produkte: ENTEGA Ökostrom-Produktfamilie, e-ben Ökostrom, ENTEGA NaturPur-Produktfamilie, Simply Green, individuelle Geschäftskunden",Frankfurter Str. 100 - 64293 Darmstadt,Tel. 0800 / 1111 0555,www.entega.de
ESDG Energie-Service Dienstleistungsgesellschaft mbH,business öko 100,Tullastr. 61 - 79108 Freiburg, ,www.esdg.de
ESWE Versorgungs AG,ESWE Natur STROM Plus,Konradinerallee 25 - 65189 Wiesbaden, ,www.eswe-versorgung.de
