Anbieter,Label
Baywa,Ok-Power
Bürgerinitiative Umweltschutz,Grüner Strom Gold
Bürgerwerke,Grüner Strom Gold
Heidelberger Solidarstromer,EcoTopTen
Ökostromer Edingen-Neckarhausen ,EcoTopTen
Schriesheimer Ökostromer,EcoTopTen
Enspire Energie,Grüner Strom Gold
EWS Elektrizitätswerke Schönau ,EcoTopTen
Greenpeace Energy,"TÜV Nord, Omnicert"
Klimaschutz+Energiegenossenschaft ,EcoTopTen
Mann-Naturenergie,Grüner Strom Gold
Naturstrom,Grüner Strom Gold
Polarstern,Grüner Strom Gold
Proengeno,Grüner Strom Gold
Prokon Regenerative Energien,Ok-Power
Savero,Ok-Power
Solidarische Ökonomie Bremen,EcoTopTen
Stadtwerke Müllheim-Staufen,Ok-Power
