Anbieter,Ok Power,Grünstrom,Energie & Managment,Verbraucher Niedersachsen,Vergleich Bundesnetzagentur,Telefon,Website,Adresse,Verfügbarkeit
1&1 Energy GmbH,,,,,bna,,,Elgendorfer Straße 57 - 56410 Montabaur,
17er Oberlandenergie GmbH,,,true,false,true,,,Viehmarktplatz 1 - 82418 Murnau,
24/7 Energie & Kommunikation GmbH,,,,,bna,,,Meeboldstraße 1 - 89522 Heidenheim,
365 AG,,,,,bna,,,Aachener Straße 1253 - 50858 Köln,
A&A Stromallianz Solutions GmbH,,,,,bna,,,Zehdenicker Str. 19 - 10119 Berlin,
AggerEnergie GmbH,,true,false,false,true,02261 30030,www.aggerenergie.de/de/privatkunden/strom.html,Alexander-Fleming-Str. 2 - 51643 Gummersbach,regional
Ahrtal-Werke GmbH,,,true,false,true,,,Hauptstraße 116 - 53474 Bad Neuenahr-Ahrweiler,
Albert Beck GmbH,,,,,bna,,,Glöcknerpfad 48-52 - 34134 Kassel,
ALBSTADTWERKE GmbH,,,,,bna,,,Goethestraße 91 - 72461 Albstadt,
Albwerk GmbH & Co. KG,true,,false,false,true,Tel. 07331 / 209-600,www.albwerk.de,Eybstraße 98-102 - 73312 Geislingen an der Steige,
Alpiq Energie Deutschland GmbH,,,,,bna,,,Kantstraße 21 - 10623 Berlin,
alz strom vertriebs GmbH,,,,,bna,,,Stefan Flötzl Str. 4 - 83342 Tacherting,
"AMB R. Adolf - C. Kämpf Mineralöle, Schmierstoffe
und Transport GmbH",,,,,bna,,,Graf-Heinrich-Straße 24 - 57627 Hachenburg,
Ammer Loisach Energie GmbH,,,,,bna,,,Schnitzlergasse 5 - 82487 Oberammergau,
Andreas Stegerhoff,,,,,bna,,,Röntgenstr. 19 - 46325 Borken,
Apolog GmbH,,,,,bna,,,Sonnenallee 2 - 66287 Quierschied,
APW-Energie GmbH,,,,,bna,,,Kolpingstraße 37 - 59329 Wadersloh,
Arktis Energy GmbH,,,,,bna,,,Nonnendammallee 42 - 13599 Berlin,
ASEW Energie und Umwelt Service GmbH & Co. KG,true,,false,false,false,Tel. 0221 / 931819-18,www.asew.de,,
Audax Energie GmbH,,,,,bna,,,Otto-Franke-Straße 97 - 12489 Berlin,
AVIA AG,true,,false,false,false,Tel. 089 / 455045–0,www.avia.de,,
AVIA Steingass Mineralöle GmbH,,,,,bna,,,Bensberger Straße  5 - 51375 Leverkusen,
AVU Aktiengesellschaft für Versorgungs-Unternehmen ,true,,false,false,false,Tel. 02332 / 73605,www.avu.de,,
aWATTar Deutschland GmbH,,,,,bna,,,Friedrichstraße 246 - 10969 Berlin,
aws Wärme Service GmbH,,,,,bna,,,Hohe Bleichen 18 - 20354 Hamburg,
B.R.A.S.S.T. Bau GmbH,,,,,bna,,,Gartenstraße 15 - 13088 Berlin,
badenova AG & Co. KG,true,,false,false,false,Tel. 08002 / 83 84 85,www.badenova.de,,
BarMalGas GmbH,,,,,bna,,,Seestraße 33 - 14974 Ludwigsfelde,
Bayer Industry Services GmbH,,,,,bna,,, - 51368 Leverkusen,
Bayernwerk Regio Energie GmbH,,,,,bna,,,Lilienthalstraße 7 - 93049 Regensburg,
BayWa Ökoenergie GmbH,true,,true,false,true,Tel. 0800 / 7241640,www.baywa-oekoenergie.de,Grillparzerstraße 12a - 81675 München,
BayWa r.e. Clean Energy Sourcing GmbH,,,,,bna,,,Katharinenstraße 6 - 4109 Leipzig,
BayWa r.e. Green Energy Products GmbH,,,,,bna,,,Grillparzerstraße 12a - 81675 München,
BayWa r.e. renewable energy GmbH,,,true,false,false,,,,
bbsw Energie GmbH,,,,,bna,,,Im Altenhagen 1 - 32839 Steinheim/Westf.,
BCS Wärme GmbH,,,,,bna,,,Markt 19 - 6682 Teuchern,
BEEGY GmbH,,,,,bna,,,"L 13, 3-4 - 68161 Mannheim",
Beer Energien GmbH & Co. KG,,,,,bna,,,Saganer Straße 31 - 90475 Nürnberg,
BEG Energietechnik GmbH,,,,,bna,,,Maria-Salome-Buchmüller-Straße 1 - 79115 Freiburg,
BELKAW GmbH,,,,,bna,,,Hermann-Löns-Straße 131-133 - 51469 Bergisch Gladbach,
Benergie-Service GmbH,,,true,false,true,,,Schlachte 45 - 28195 Bremen,
Berg Mineralöl  GmbH,,,,,bna,,,Tuchschererstraße 17 - 67551 Worms,
BerLa GmbH,,,,,bna,,,Hahnerberger Straße 26 - 42349 Wuppertal,
Berliner Energieagentur GmbH,,,,,bna,,,Französische Straße 23 - 10117 Berlin,
Berliner Stadtwerke GmbH,,,true,false,true,,,Am Köllnischen Park 1 - 10179 Berlin,
Bernburger Mineralölvertrieb Lühmann GmbH & Co. KG,,,,,bna,,,"Weizenberg 20, OT Neundorf - 39418 Staßfurt",
BEV Bayrische Energieversorgungsgesellschaft mbH,,,,,bna,,,Nymphenburger Straße 154 - 80634 München,
BHM Berliner Energiehandel GmbH,,,,,bna,,,Westhafenstraße 1 - 13353 Berlin,
Biermann GmbH Energie,,,,,bna,,,Friedrich-Ebert-Straße 65 - 59425 Unna,
BIGGE ENERGIE GmbH & Co. KG,,,,,bna,,,In der Stesse 14 - 57439 Attendorn,
Bioenergie Am Kiecker GmbH & Co. KG,,,,,bna,,,Kastanienallee 1 - 17291 Nordwestuckermark,
Bioenergie am Landsberg GmbH & Co. KG,,,,,bna,,,Bucken 1 - 24614 Aukrug,
Bioenergie Fürstenhagen GmbH & Co. KG,,,,,bna,,,Milchstraße 15 - 17258 Feldberger Seenlandschaft,
Bioenergie Haar GmbH & Co. KG,,,,,bna,,,Hauptstraße 2 - 19273 Darchau,
Bioenergie Lintig I GbR,,,,,bna,,,Hainmühlener Straße 1 - 27624 Geestland,
Bioenergie Rondeshagen GmbH & Co. KG,,,,,bna,,,Zur Drögermühle 31 - 23919 Rondeshagen,
Bioenergie Vehlow GmbH & Co. KG,,,,,bna,,,Lindenstraße 6 - 16866 Gumtow OT Vehlow,
Bioenergie Witt KG,,,,,bna,,,Magdalenenhof 1 - 24395 Stangheck,
Biogas Alte Au GmbH & Co. KG,,,,,bna,,,Osterstraße 4b - 25926 Bramstedtlund,
Biogas Andresen GmbH & Co. KG,,,,,bna,,,Hauptstraße 32 - 25917 Sprakenbüll,
Biogasanlage an der Vogelzunge GmbH & Co KG,,,,,bna,,,Vogelzunge 9 - 24576 Weddelbrook,
Biogas Clausen-Hansen GmbH & Co. KG,,,,,bna,,,Hollingbusch 2 - 25876 Schwabstedt,
Biogas Grieben GmbH & Co. KG,,,,,bna,,,Friedenstraße 1 - 39517 Grieben,
Biogas Linnau GmbH & Co. KG,,,,,bna,,,Am Spielplatz 4 - 24969 Lindewitt OT Linnau,
Biogas Nordwarf GmbH & Co. KG,,,,,bna,,,Diedersbüller Straße 4 - 25924 Emmelsbüll-Horsbüll,
Biokraftgesellschaft Moers/Dinslaken mbH,,,,,bna,,,Uerdinger Straße 31 - 47441 Moers,
Biomethangas Hahnennest GmbH,,,,,bna,,,Hahnennest 100 - 88356 Ostrach,
"Bischoff, Vliex & Schöngen, Pfennings
GmbH & Co. KG",,,,,bna,,,Wurmbenden 8 - 52070 Aachen,
BK Badische-Kraftwerk GmbH & Co. KG,,,,,bna,,,Gewerbepark Citè 4 - 76532 Baden-Baden,
Blomberger Versorgungsbetriebe GmbH,true,,false,false,false,Tel. 05235 / 95023051,www.bvb-blomberg.de,,
BMG Mineralölhandel GmbH,,,,,bna,,,Am Güterbahnhof Halensee 8 - 11 - 10711 Berlin,
Bonnhoff Buchenhof Bioenergie GmbH & Co. KG,,,,,bna,,,"Austraße 4 - 25365 Klein Offenseth-
Sparrieshoop",
Bonus Strom GmbH,,,,,bna,,,Mühlenberg 18 - 24857 Fahrdorf,
"BRA-CON, J.Weinrich e.K.",,,,,bna,,,Nachtbuchtweg 11 - 15838 Am Mellensee,
BRASST Energiedienstleistungsgesellschaft mbH,,,,,bna,,,Fabrikstraße 3 - 16303 Schwedt,
Bremer Energiehaus- Genossenschaft eG,,,,,bna,,,Schlachte 45 - 28195 Bremen,
Brennstoffhandel Habermann GmbH & Co. KG,,,,,bna,,,Oberdorfweg 17 - 61130 Nidderau,
"Brennstoffhandel Maschek, Inh. Annette Schleyer",,,,,bna,,,Am Alten Sportplatz - 99947 Schönstedt,
Brennstoffhandel Petersohn Inh. Jochen Scholz e.K.,,,,,bna,,,Stralsunder Straße 146 - 4349 Leipzig,
BRS Beteiligungsgesellschaft Bonn/Rhein-Sieg mbH,,,,,bna,,,Kaiser-Wilhelm-Platz 1 - 53721 Siegburg,
BS Energy Braunschweiger Versorgungs AG & Co. KG,,true,false,true,false,0531 3830,www.bs-energy.de/privatkunden/produkte/strom/bs-naturstrom-gold/,,bundesweit
"BTB -Blockheizkraftwerks,Träger- und
Betreibergesellschaft mbH Berlin",,,,,bna,,,Gaußstraße 11 - 10589 Berlin,
BTB - Energieversorgungsgesellschaft mbH,,,,,bna,,,Eichenstraße 3 B - 12435 Berlin,
Burgenland Energie GmbH,,,,,bna,,,Geußnitzer Straße 74 - 6712 Zeitz,
Bürger-Energie-Genossenschaft-Freisinger Land e. G.,,,,,bna,,,Mauermayrstraße 2 - 85354 Freising,
BürgerEnergie Thüringen Sachsen eG,,,,,bna,,,Schillerstraße 16 - 99423 Weimar,
