Name,Siegel/Empfehlungen*,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
BayWa Ökoenergie,"EcoTopTen, Grüner Strom, ok power plus, Öko-Test",,,,,,,,,,,,,
Bremer SolidarStrom,"EcoTopTen, TÜV Nord, Öko-Test",,,,,,,,,,,,,
Die Bürgerwerke,"EcoTopTen, Grüner Strom, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Entega,"EcoTopTen, ok power, TÜV Nord",,,,,,,,,,,,,
Enspire,"EcoTopTen, Grüner Storm, Öko-Test",,,,,,,,,,,,,
EWS Schönau,"EcoTopTen, ok power plus, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Fair Trade Power,"EcoTopTen, Grüner Strom, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Greenpeace Energy,"EcoTopTen, ok power plus, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Grünstromwerk,TÜV Nord,,,,,,,,,,,,,
Lichtblick,"EcoTopTen, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Naturstrom,"EcoTopTen, Grüner Strom, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Mann Strom,"EcoTopTen, Grüner Strom, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
Ökostrom+,"EcoTopTen, TÜV Nord, Öko-Test",,,,,,,,,,,,,
Polarstern,"EcoTopTen, Grüner Strom, TÜV Nord, Utopia, Öko-Test",,,,,,,,,,,,,
ProEngeno Naturmix Premium,"EcoTopTen, Grüner Strom, TÜV Nord, Öko-Test",,,,,,,,,,,,,
Prokon,"EcoTopTen, ok power plus, TÜV Nord, Öko-Test",,,,,,,,,,,,,
