,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Lichtblick Liste,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung,RoWo Liste
0,123energie - Eine Marke der Pfalzwerke AG,12.00%,41.00%,11.00%,1.00%,31.00%,4.00%,100.00%,53.00%,17.39%,59.42%,15.94%,1.45%,5.80%,76.81%,470.0,0.0003,681.159420289855,https://www.123energie.de/service/462.php,,True,,,,,,,,,,,,,,,,,
1,17er Oberlandenergie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://17er.com/die-17er/service/stromkennzeichnung/,nicht vorhanden,True,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,,D,,,,,,,,,,,True
2,24/7 Energie und Kommunikation GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.elissa.de/produkte-elissa/elissa-strom.html,nicht aktuell,True,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,,A,x,Stadtwerke,,,,,,,x,,True
3,4hundred GmbH,0.00%,0.00%,0.00%,0.00%,47.00%,53.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.4hundred.com/stromkennzeichnung/,,True,,,,,,,,,,,,,,,,,
4,Abens-Donau Energie GmbH,10.70%,27.20%,7.80%,1.30%,52.90%,0.10%,100.00%,36.30%,22.72%,57.75%,16.56%,2.76%,0.21%,77.07%,303.0,0.0003,643.312101910828,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,True,,,,,,,,,,,,,,,,,
5,Abita Energie Otterberg GmbH,8.70%,28.70%,8.50%,1.30%,52.80%,0.00%,100.00%,38.50%,18.43%,60.81%,18.01%,2.75%,0.00%,81.57%,324.0,0.0002,686.440677966102,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,,True,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,,A,,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html),,,,,,,,,True
6,AggerEnergie GmbH,3.80%,21.10%,25.70%,2.00%,46.50%,0.90%,100.00%,48.80%,7.10%,39.44%,48.04%,3.74%,1.68%,91.21%,264.0,0.0001,492.523364485981,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,,True,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,,A,,,,,,,,,,,True
7,Ahrtal-Werke GmbH,7.20%,30.10%,1.80%,8.50%,52.90%,0.00%,100.50%,40.40%,15.29%,63.91%,3.82%,18.05%,0.00%,85.77%,343.0,0.0002,728.23779193206,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,,True,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,,A,x,?,,,,,,,x,,True
8,Albstadtwerke GmbH,10.80%,27.50%,6.80%,0.70%,51.10%,3.10%,100.00%,35.00%,22.09%,56.24%,13.91%,1.43%,6.34%,71.57%,288.0,0.0003,588.9570552147239,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,,True,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,,A,,,,,,,,,,,True
9,Albwerk GmbH & Co. KG,9.20%,20.40%,3.70%,0.70%,51.80%,14.20%,100.00%,24.80%,19.09%,42.32%,7.68%,1.45%,29.46%,51.45%,227.0,0.0002,470.954356846473,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,,True,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,,A,,,,,,,,,,,True
10,Allgäuer Kraftwerke GmbH,6.50%,29.10%,5.60%,0.80%,52.90%,5.10%,100.00%,35.50%,13.80%,61.78%,11.89%,1.70%,10.83%,75.37%,318.0,0.0002,675.1592356687901,https://www.allgaeukraft.de/stromkennzeichnung.html,,True,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,,A,,,,,,,,,,,True
11,Allgäuer Überlandwerk GmbH,6.40%,29.20%,5.20%,2.70%,47.90%,8.60%,100.00%,37.10%,12.28%,56.05%,9.98%,5.18%,16.51%,71.21%,318.0,0.0002,610.364683301344,https://www.auew.de/privatkunden/kontakt-service/gesetzgebung/stromkennzeichnung/,,True,Illerstraße 18,87435,Kempten,https://www.auew.de,,A,,,,,,,,,,,True
12,Ammer-Loisach Energie GmbH,10.70%,27.20%,7.80%,1.30%,52.90%,0.10%,100.00%,36.30%,22.72%,57.75%,16.56%,2.76%,0.21%,77.07%,303.0,0.0003,643.312101910828,https://www.ammer-loisach-energie.de/unser-strom/strom-fuer-privatkunden/,,True,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,,A,,,,,,,,,,,True
13,Aschaffenburger Versorgungs-GmbH,7.00%,30.10%,5.50%,0.90%,52.90%,3.60%,100.00%,36.50%,14.86%,63.91%,11.68%,1.91%,7.64%,77.49%,344.0,0.0002,730.36093418259,http://www.stwab.de/Energie-Wasser/Strom/Stromkennzeichnung/,,True,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,,A,,,,,,,,,,,True
14,Audax Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.audaxenergie.de/?sec=strom,nicht vorhanden,True,,,,,,,,,,,,,,,,,
15,AVU Aktiengesellschaft für Versorgungs-Unternehmen,9.40%,32.80%,4.70%,0.60%,51.30%,1.20%,100.00%,38.10%,19.30%,67.35%,9.65%,1.23%,2.46%,78.23%,342.0,0.0003,702.258726899384,https://www.avu.de/downloads/veroeffentlichungspflichten/energietraegermix-2017.pdf,,True,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,,A,,,,,,,,,,,True
16,backnangstrom GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.backnangstrom.de/privatkunden/startseite/,nicht aktuell,True,,,,,,,,,,,,,,,,,
17,Bad Honnef AG,3.50%,15.00%,13.40%,1.20%,52.90%,13.90%,99.90%,29.60%,7.43%,31.85%,28.45%,2.55%,29.51%,62.85%,197.0,0.0001,418.259023354565,https://www.bhag.de/stromkennzeichnung,,True,,,,,,,,,,,,,,,,,
18,Bad Lauterberg Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.badlauterberg-energie.de/de/Referenzierter-Inhalt/Referenzierter-Downloads/Stromkennzeichnung-2018.pdf,nicht aktuell,True,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,,A,,,,,,,,,,,True
19,badenova AG & Co. KG,3.40%,10.60%,9.00%,0.70%,50.40%,25.90%,100.00%,20.30%,6.85%,21.37%,18.15%,1.41%,52.22%,40.93%,139.0,0.0001,280.241935483871,https://www.badenova.de/web/Privatkunden/%C3%96kostrom/Informationen-und-Rechtliches/index.jsp,,True,Tullastraße 61,79108,Freiburg,https://www.badenova.de,,A,,,,,,,,,,,True
20,BarMalGas GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,BarMalGas GmbH,(Ineon) nicht aktuell,True,,,,,,,,,,,,,,,,,
21,Bauer Elektrounternehmen GmbH & Co.KG,18.10%,22.20%,5.70%,0.90%,53.00%,0.10%,100.00%,28.80%,38.51%,47.23%,12.13%,1.91%,0.21%,61.28%,243.0,0.0005,517.021276595745,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,True,,,,,,,,,,,,,,,,,
22,BayWa Ökoenergie GmbH,0.00%,0.00%,0.00%,0.00%,52.94%,47.06%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.baywa-oekoenergie.de/fileadmin/media/global/strommix/Strommix_2017_BayWa_Oekoenergie_Stand_Oktober_2018.jpg,,True,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,,X,,,,,,,,,,,True
23,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",3.50%,19.40%,23.60%,1.80%,50.60%,1.10%,100.00%,44.80%,7.09%,39.27%,47.77%,3.64%,2.23%,90.69%,271.0,0.0001,548.582995951417,https://www.belkaw.de/de/privatkundenportal/tarife/rechtliches/stromkennzeichnung/index.php,,True,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,,A,,,,,,,,,,,True
24,Benergie-Service GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.benergie.de/privatkunden/oekostrom,,True,,,,,,,,,,,,,,,,,
25,BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,8.70%,27.10%,3.60%,0.60%,52.90%,7.10%,100.00%,31.30%,18.47%,57.54%,7.64%,1.27%,15.07%,66.45%,294.0,0.0002,624.203821656051,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,True,,,,,,,,,,,,,,,,,
26,Berliner Stadtwerke GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://berlinerstadtwerke.de/okostrom/strommix/,,True,,,,,,,,,,,,,,,,,
27,BeSte Stadtwerke GmbH,6.70%,19.40%,7.70%,1.00%,52.90%,12.30%,100.00%,28.10%,14.23%,41.19%,16.35%,2.12%,26.11%,59.66%,143.0,0.0002,303.609341825902,https://www.beste-stadtwerke.de/Produkte/Strom/,,True,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,,A,,,,,,,,,,,True
28,BEV Bayerische Energieversorgungsgesellschaft mbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bev-energie.com/stromkennzeichnung/,nicht aktuell,True,,,,,,,,,,,,,,,,,
29,BEW Bergische Energie- und Wasser-GmbH,10.10%,28.90%,4.80%,0.50%,52.90%,2.80%,100.00%,34.20%,21.44%,61.36%,10.19%,1.06%,5.94%,72.61%,665.0,0.0006,1411.88959660297,https://www.bergische-energie.de/fileadmin/user_upload/Dokumente/Urkunden_u._Rechtliches/Stromkennzeichnung_2017_Lokalstrom_Option_natur_01.pdf,    ,True,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,,A,,,,,,,,,,,True
30,BIGGE ENERGIE GmbH & Co. KG,8.20%,33.30%,3.50%,0.30%,52.90%,1.80%,100.00%,37.10%,17.41%,70.70%,7.43%,0.64%,3.82%,78.77%,356.0,0.0002,755.83864118896,https://www.bigge-energie.de/fileadmin/user_upload/pagetree_root/Privatkunden/Produkte_Leistungen/01_Strom/Allgemein/Kennzeichnung_Stromlieferung_2018.pdf,,True,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,,A,,,,,,,,,,,True
31,Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.billig-will-ich.de/,nicht vorhanden,True,,,,,,,,,,,,,,,,,
32,Blomberger Versorgungsbetriebe GmbH,12.70%,15.50%,4.00%,0.60%,52.80%,14.40%,100.00%,20.10%,26.91%,32.84%,8.47%,1.27%,30.51%,42.58%,170.0,0.0003,360.16949152542395,https://www.bvb-blomberg.de/strom/tarif_2018.php,,True,,,,,,,,,,,,,,,,,
33,Bocholter Energie- und Wasserversorgung GmbH,5.10%,18.50%,3.60%,0.40%,51.40%,21.00%,100.00%,22.50%,10.49%,38.07%,7.41%,0.82%,43.21%,46.30%,206.0,0.0001,423.868312757202,https://www.bew-bocholt.de/privatkunden/strom/stromkennzeichnung.html,,True,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,,A,,,,,,,,,,,True
34,Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,7.00%,23.60%,7.40%,1.20%,45.60%,15.20%,100.00%,32.20%,12.87%,43.38%,13.60%,2.21%,27.94%,59.19%,273.0,0.0002,501.83823529411796,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,True,,,,,,,,,,,,,,,,,
35,Bonus Strom GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,nicht aktuell,True,,,,,,,,,,,,,,,,,
36,Braunschweiger Versorgungs-AG & Co. KG,8.10%,29.70%,9.60%,0.90%,49.20%,2.50%,100.00%,40.20%,15.94%,58.46%,18.90%,1.77%,4.92%,79.13%,332.0,0.0002,653.543307086614,https://www.bs-energy.de/fileadmin/BS_ENERGY/privatkunden/produkte/strom/Infoletter_Stromherkunft_BSEnergy_2018.pdf,,True,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,,A,,,,,,,,,,,True
37,Burgenland Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,nicht aktuell,True,,,,,,,,,,,,,,,,,
38,Bürger Energie Genossenschaft Freisinger Land e.G.,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,nicht aktuell,True,,,,,,,,,,,,,,,,,
39,BürgerEnergie Solingen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.buergerenergie-solingen.de/,nicht vorhanden,True,,,,,,,,,,,,,,,,,
40,Bürgerwerke eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,FEHLER fehlerhafte Kennzeichnung,True,,,,,,,,,,,,,,,,,
41,C. Ensinger GmbH & Co.KG,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,,True,,,,,,,,,,,,,,,,,
42,CB Energie GmbH,6.40%,29.90%,6.70%,1.20%,52.90%,2.90%,100.00%,37.80%,13.59%,63.48%,14.23%,2.55%,6.16%,80.25%,337.0,0.0002,715.498938428875,https://cbenergie.de/stromkenng/,,True,,,,,,,,,,,,,,,,,
43,Citiwerke - eine Marke der Thüga Energie GmbH,4.80%,14.70%,3.70%,0.60%,50.80%,25.40%,100.00%,19.00%,9.76%,29.88%,7.52%,1.22%,51.63%,38.62%,166.0,0.0001,337.39837398374,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,True,,,,,,,,,,,,,,,,,
44,Cramer Mühle KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.cramermuehle.de/index.html,nicht vorhanden,True,,,,,,,,,,,,,,,,,
45,Crämer Schmäling GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,nicht aktuell,True,,,,,,,,,,,,,,,,,
46,DB Energie,13.00%,33.70%,10.10%,0.70%,19.70%,22.80%,100.00%,44.50%,16.19%,41.97%,12.58%,0.87%,28.39%,55.42%,371.0,0.0004,462.017434620174,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,True,,,,,,,,,,,,,,,,,
47,Dessauer Stromversorgung GmbH,7.30%,18.00%,21.30%,0.90%,51.20%,1.30%,100.00%,40.20%,14.96%,36.89%,43.65%,1.84%,2.66%,82.38%,237.0,0.0002,485.655737704918,https://www.dvv-dessau.de/fileadmin/user_upload/Privatkunden/Strom/Docs/Strommix_2017__grafik.pdf,,True,Albrechtstraße 48,06844,Dessau,https://www.dvv-dessau.de,,A,,,,,,,,,,,True
48,die energievorsorger GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.die-energievorsorger.de/strom/,,True,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,,A,,,,,,,,,,,True
