Stromanbieter,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
123energie - eine Marke der Pfalzwerke AG,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,,A,,,X,,,,,OKPower,,
17er Oberlandenergie GmbH,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,,D,,,,,,,,,,
24/7 Energie und Kommunikation GmbH,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,,A,x,Stadtwerke,,,,,,,x,
Abita Energie Otterberg GmbH,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,,A,,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html),,,,,,,,
AggerEnergie GmbH,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,,A,,,,,,,,,,
Ahrtal-Werke GmbH,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,,A,x,?,,,,,,,x,
Albstadtwerke GmbH,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,,A,,,,,,,,,,
Albwerk GmbH & Co. KG,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,,A,,,,,,,,,,
Allgäuer Kraftwerke GmbH,Am Alten Bahnhof 10,87527,Sonthofen,https://www.allgaeukraft.de,,A,,,,,,,,,,
Allgäuer Überlandwerk GmbH,Illerstraße 18,87435,Kempten,https://www.auew.de,,A,,,,,,,,,,
Ammer-Loisach Energie GmbH,Schnitzlergasse 5,82487,Oberammergau,https://www.ammer-loisach-energie.de/,,A,,,,,,,,,,
Aschaffenburger Versorgungs-GmbH,Werkstraße 2,63739,Aschaffenburg,https://www.stwab.de,,A,,,,,,,,,,
AVU Aktiengesellschaft für Versorgungs-Unternehmen,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,,A,,,,,,,,,,
Bad Lauterberg Energie GmbH,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,,A,,,,,,,,,,
badenova AG & Co. KG,Tullastraße 61,79108,Freiburg,https://www.badenova.de,,A,,,,,,,,,,
BayWa Ökoenergie GmbH,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,,X,,,,,,,,,,
"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,,A,,,,,,,,,,
BeSte Stadtwerke GmbH,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,,A,,,,,,,,,,
BEW Bergische Energie- und Wasser-GmbH,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,,A,,,,,,,,,,
BIGGE ENERGIE GmbH & Co. KG,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,,A,,,,,,,,,,
BVB Bllomberg,Nederlandstraße 15,32825,Blomberg,https://www.bvb-blomberg.de/,,A,,,,,,,,,,
Bocholter Energie- und Wasserversorgung GmbH,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,,A,,,,,,,,,,
Braunschweiger Versorgungs-AG & Co. KG,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,,A,,,,,,,,,,
Dessauer Stromversorgung GmbH,Albrechtstraße 48,06844,Dessau,https://www.dvv-dessau.de,,A,,,,,,,,,,
die energievorsorger GmbH,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,,A,,,,,,,,,,
DREWAG - Stadtwerke Dresden GmbH,Friedrich-List-Platz 2,01069,Dresden,https://www.drewag.de,,A,,,,,,,,,,
E WIE EINFACH GmbH,Salierring 47-53,50677,Köln,https://www.e-wie-einfach.de,,A,,,,,,,,,,
E.ON Energie Deutschland GmbH,Arnulfstraße 203,80634,München,https://www.eon.de,,A,,,,,,,,,,
e.wa riss GmbH & Co KG,Freiburger Straße 6,88400,Biberach,https://www.ewa-riss.de,,A,,,,,,,,,,
EAM Energie GmbH,Monteverdistraße 2,34131,Kassel,https://www.eam.de,,R?,,,?,,,,,,,
EGT Energievertrieb GmbH,Schonacher Str. 2,78098,Triberg,https://www.egt.de,,A,,,,,,,,,,
