Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,,4hundred GmbH,0.00%,0.00%,0.00%,0.00%,47.00%,53.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.4hundred.com/stromkennzeichnung/,,,,,,,,,,,,,,,,,
True,,Abens-Donau Energie GmbH,10.70%,27.20%,7.80%,1.30%,52.90%,0.10%,100.00%,36.30%,22.72%,57.75%,16.56%,2.76%,0.21%,77.07%,303.0,0.0003,643.312101910828,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,,,,,,,,,,,,,
True,,Audax Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.audaxenergie.de/?sec=strom,nicht vorhanden,,,,,,,,,,,,,,,,
True,,backnangstrom GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.backnangstrom.de/privatkunden/startseite/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Bad Honnef AG,3.50%,15.00%,13.40%,1.20%,52.90%,13.90%,99.90%,29.60%,7.43%,31.85%,28.45%,2.55%,29.51%,62.85%,197.0,0.0001,418.259023354565,https://www.bhag.de/stromkennzeichnung,,,,,,,,,,,,,,,,,
True,,BarMalGas GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,BarMalGas GmbH,(Ineon) nicht aktuell,,,,,,,,,,,,,,,,
True,,Bauer Elektrounternehmen GmbH & Co.KG,18.10%,22.20%,5.70%,0.90%,53.00%,0.10%,100.00%,28.80%,38.51%,47.23%,12.13%,1.91%,0.21%,61.28%,243.0,0.0005,517.021276595745,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,,,,,,,,,,,,,,,,
True,,Benergie-Service GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.benergie.de/privatkunden/oekostrom,,,,,,,,,,,,,,,,,
True,,BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,8.70%,27.10%,3.60%,0.60%,52.90%,7.10%,100.00%,31.30%,18.47%,57.54%,7.64%,1.27%,15.07%,66.45%,294.0,0.0002,624.203821656051,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,,,,,,,,,,,,,,,,
True,,Berliner Stadtwerke GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://berlinerstadtwerke.de/okostrom/strommix/,,,,,,,,,,,,,,,,,
True,,BEV Bayerische Energieversorgungsgesellschaft mbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bev-energie.com/stromkennzeichnung/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.billig-will-ich.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,7.00%,23.60%,7.40%,1.20%,45.60%,15.20%,100.00%,32.20%,12.87%,43.38%,13.60%,2.21%,27.94%,59.19%,273.0,0.0002,501.83823529411796,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,,,,,,,,,,,,,,,,
True,,Bonus Strom GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,nicht aktuell,,,,,,,,,,,,,,,,
True,,Burgenland Energie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,nicht aktuell,,,,,,,,,,,,,,,,
True,,Bürger Energie Genossenschaft Freisinger Land e.G.,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,nicht aktuell,,,,,,,,,,,,,,,,
True,,BürgerEnergie Solingen eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.buergerenergie-solingen.de/,nicht vorhanden,,,,,,,,,,,,,,,,
True,,Bürgerwerke eG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,,
True,,C. Ensinger GmbH & Co.KG,0.00%,0.00%,0.00%,0.00%,47.10%,52.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,,,,,,,,,,,,,,,,,
True,,CB Energie GmbH,6.40%,29.90%,6.70%,1.20%,52.90%,2.90%,100.00%,37.80%,13.59%,63.48%,14.23%,2.55%,6.16%,80.25%,337.0,0.0002,715.498938428875,https://cbenergie.de/stromkenng/,,,,,,,,,,,,,,,,,
