,Lichtblick Liste,RoWo Liste,Firmenname,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen,Adresse,PLZ,Stadt,URL,Kontakt     (nur relevante Anbieter),RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
0,True,True,123energie - Eine Marke der Pfalzwerke AG,12.00%,41.00%,11.00%,1.00%,31.00%,4.00%,100.00%,53.00%,17.39%,59.42%,15.94%,1.45%,5.80%,76.81%,470.0,0.0003,681.159420289855,https://www.123energie.de/service/462.php,,Kurfürstenstraße 29,67061,Ludwigshafen,https://www.123energie.de,,A,x,,X,,,,,OKPower,,
1,True,True,17er Oberlandenergie GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://17er.com/die-17er/service/stromkennzeichnung/,nicht vorhanden,Viehmarktplatz 1,82418,Murnau am Staffelsee,https://17er.com,,A,x,,,,,,,,,
2,True,True,24/7 Energie und Kommunikation GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.0,https://www.elissa.de/produkte-elissa/elissa-strom.html,nicht aktuell,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de,,A,x,Stadtwerke,,,,,,,x,
3,True,,4hundred GmbH,0.00%,0.00%,0.00%,0.00%,47.00%,53.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.0,0.0,0.0,https://www.4hundred.com/stromkennzeichnung/,,,,,,,,,,,,,,,,,
4,True,True,Abens-Donau Energie GmbH,10.70%,27.20%,7.80%,1.30%,52.90%,0.10%,100.00%,36.30%,22.72%,57.75%,16.56%,2.76%,0.21%,77.07%,303.0,0.0003,643.312101910828,https://www.abens-donau-energie.de/strom-fuer-privatkunden/,,,,,,,A,x,,,,,,,,,
5,True,True,Abita Energie Otterberg GmbH,8.70%,28.70%,8.50%,1.30%,52.80%,0.00%,100.00%,38.50%,18.43%,60.81%,18.01%,2.75%,0.00%,81.57%,324.0,0.0002,686.440677966102,https://www.abita-energie.de/fileadmin/dokumente/Kundeninfo/pdf/Energietraegermix_2017_de.pdf,,Bismarckstrasse 14,67655,Kaiserslautern,https://www.abita-energie.de,,A,x,Gehört zu den Stadtwerke Kaiserslautern- vertreibt Energiemix mit Kohe- und Atomstrom (https://www.swk-kl.de/de/geschaeftskunden/produkte-leistungen/strom/energietraegermix.html),,,,,,,,
6,True,True,AggerEnergie GmbH,3.80%,21.10%,25.70%,2.00%,46.50%,0.90%,100.00%,48.80%,7.10%,39.44%,48.04%,3.74%,1.68%,91.21%,264.0,0.0001,492.523364485981,https://www.aggerenergie.de/_Resources/Persistent/b4b78ce18fabca63b979877f74ee3edc6653efa8/Kennzeichnung%20der%20Stromlieferungen%202017.pdf,,Alexander-Fleming-Str. 2,51643,Gummersbach,https://www.aggerenergie.de,,A,x,,,,,,,,,
7,True,True,Ahrtal-Werke GmbH,7.20%,30.10%,1.80%,8.50%,52.90%,0.00%,100.50%,40.40%,15.29%,63.91%,3.82%,18.05%,0.00%,85.77%,343.0,0.0002,728.23779193206,https://ahrtal-werke.de/service/rechtliches/stromkennzeichnung/,,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler,https://ahrtal-werke.de,,A,x,?,,,,,,,x,
8,True,True,Albstadtwerke GmbH,10.80%,27.50%,6.80%,0.70%,51.10%,3.10%,100.00%,35.00%,22.09%,56.24%,13.91%,1.43%,6.34%,71.57%,288.0,0.0003,588.9570552147239,https://www.albstadtwerke.de/fileadmin/media/unserangebot/Strom/ASW_Stromkennzeichnung_2017_quer_291018.pdf,,Goethestraße 91,72461,Albstadt,https://www.albstadtwerke.de,,A,x,,,,,,,,,
9,True,True,Albwerk GmbH & Co. KG,9.20%,20.40%,3.70%,0.70%,51.80%,14.20%,100.00%,24.80%,19.09%,42.32%,7.68%,1.45%,29.46%,51.45%,227.0,0.0002,470.954356846473,https://www.albwerk.de/service/allgemeine-informationen/stromkennzeichnung/,,Eybstr. 98-100,73312,Geislingen an der Steige,https://www.albwerk.de,,A,x,,,,,,,,,
