,Firmenname,Adresse,Telefon_x,Website_x,OK Power,Verfügbarkeit,Telefon_y,Website_y,Grüner Strom
0,Albwerk GmbH & Co. KG,Eybstraße 98-102 - 73312 Geislingen,Tel. 07331 / 209-600,www.albwerk.de,True,,,,
1,ASEW Energie und Umwelt Service GmbH & Co. KG,Eupener Str. 74 - 50933 Köln,Tel. 0221 / 931819-18,www.asew.de,True,,,,
2,AVIA AG,Grillparzerstr. 8 - 81675 München,Tel. 089 / 455045–0,www.avia.de,True,,,,
3,AVU Aktiengesellschaft für Versorgungs-Unternehmen ,An der Drehbank 18 - 58285 Gevelsberg,Tel. 02332 / 73605,www.avu.de,True,,,,
4,badenova AG & Co. KG,Tullastr. 61 - 79108 Freiburg,Tel. 08002 / 83 84 85,www.badenova.de,True,,,,
5,BayWa Ökoenergie GmbH,Grillparzerstraße 12a - 81675 München,Tel. 0800 / 7241640,www.baywa-oekoenergie.de,True,,,,
6,Blomberger Versorgungsbetriebe GmbH,Nederlandstr. 15 - 32825 Blomberg,Tel. 05235 / 95023051,www.bvb-blomberg.de,True,,,,
7,ComMetering GmbH,Rathausstraße 4 - 88457 Kirchdorf, ,www.commetering.de,True,,,,
8,DB Energie GmbH,Pfarrer-Perabo-Platz 2 - D-60326 Frankfurt,Waldemar Schlaht  Tel. 069 / 265-23715,www.dbenergie.de,True,,,,
9,EGT Energiehandel GmbH,Schonacherstr. 2 - 78098 Triberg, ,www.egt.de,True,,,,
10,Elektrizitätsgenossenschaft Dirmstein eG,Wormser Straße 111 - 67227 Frankenthal (Pfalz),Tel. 06233 / 602-0,www.egdirmstein.de,True,regional,06233 6020,www.egdirmstein.de/strom/naturstrom.html,True
11,Energie- und Wasserversorgung Bruchsal GmbH,Schnabel-Henning-Str. 1a - 76646 Bruchsal,Tel. 07251 / 706-444,www.bvb-blomberg.de,True,,,,
12,Energie- und Wasserversorgung Rheine GmbH,Hafenbahn 10 - 48431 Rheine,Tel. 05971 / 45193,www.stadtwerke-rheine.de,True,,,,
13,Energie Aktiengesellschaft Iserlohn,Stefanstr. 4-8 - 58636 Iserlohn, ,www.energie-ag.de/,True,,,,
14,Energiegenossenschaft Odenwald eG,Helmholtzstraße 1 - 64711 Erbach, ,www.eg-odenwald.de,True,,,,
15,energieGUT GmbH,Bungertstr. 27 - 47053 Duisburg, ,www.energieGUT.de,True,,,,
16,Energieversorgung Bad Boll GmbH,Sitz:  Hauptstr. 94 73087 Bad Boll - Postanschrift:  Eybstr. 98-102 73312 Geislingen,Tel. 07164 / 808-25,www.energie-bollwerk.de,True,,,,
17,Energieversorgung Rüsselsheim GmbH,Walter-Flex-Str. 74 - 65428 Rüsselsheim,Tel. 06142 / 500-222,www.stadtwerke-ruesselsheim.de,True,,,,
18,Energiewerke Waldbröl GmbH,Nümbrechter Straße 6 - 51545 Waldbröl,Tel. 02291 / 9088-0,www.ew-waldbroel.de,True,,,,
19,energy4u GmbH & Co. KG,Bachstraße 3 - 53721 Siegburg,Tel. 0800 / 7878708,www.energy4u.de,True,,,,
20,enewa GmbH Energie + Wasser Wachtberg,Am Wachtbergring 2a - 53343 Wachtberg,Tel. 0228 / 377368-0,www.enewa.de,True,,,,
21,ENTEGA Energie GmbH,Frankfurter Str. 100 - 64289 Darmstadt,Tel. 0800 / 1111 0555,www.entega.de,True,,,,
22,ENTEGA Energie GmbH,Frankfurter Str. 100 - 64293 Darmstadt,Tel. 0800 / 1111 0555,www.entega.de,True,,,,
23,ESDG Energie-Service Dienstleistungsgesellschaft mbH,Tullastr. 61 - 79108 Freiburg, ,www.esdg.de,True,bundesweit,0761 6007 9699,www.esdg.de,True
24,ESWE Versorgungs AG,Konradinerallee 25 - 65189 Wiesbaden, ,www.eswe-versorgung.de,True,,,,
