Column,Firmenname,Firmenanschrift,PLZ,Firmenort,Telefon,Website,OK Power,Grüner Strom,Verfügbarkeit
75,Agger Energie GmbH,,,,02261 30030,www.aggerenergie.de,,True,regional
0,Albwerk GmbH & Co. KG,Eybstraße 98-102,73312,Geislingen,07331 209600,www.albwerk.de,True,,
1,ASEW Energie und Umwelt Service GmbH & Co. KG,Eupener Str. 74,50933,Köln,0221 93181918,www.asew.de,True,,
2,AVIA AG,Grillparzerstr. 8,81675,München,089 4550450,www.avia.de,True,,
3,AVU Aktiengesellschaft für Versorgungs-Unternehmen ,An der Drehbank 18,58285,Gevelsberg,02332 73605,www.avu.de,True,,
4,badenova AG & Co. KG,Tullastr. 61,79108,Freiburg,08002 83 84 85,www.badenova.de,True,,
5,BayWa Ökoenergie GmbH,Grillparzerstraße 12a,81675,München,0800 7241640,www.baywa-oekoenergie.de,True,,
6,Blomberger Versorgungsbetriebe GmbH,Nederlandstr. 15,32825,Blomberg,05235 95023051,www.bvb-blomberg.de,True,,
76,BS|ENERGY Braunschweiger Versorgungs-AG & Co.KG,,,,0531 3830,www.bs-energy.de,,True,bundesweit
77,Bürgerwerke eG,,,,06221 3928920,https://buergerwerke.de,,True,bundesweit
7,ComMetering GmbH,Rathausstraße 4,88457,Kirchdorf, ,www.commetering.de,True,,
8,DB Energie GmbH,Pfarrer-Perabo-Platz 2,60326,Frankfurt,069 26523715,www.dbenergie.de,True,,
9,EGT Energiehandel GmbH,Schonacherstr. 2,78098,Triberg, ,www.egt.de,True,,
10,Elektrizitätsgenossenschaft Dirmstein eG,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.egdirmstein.de,True,True,regional
78,Elektrizitätsversorgung Rheinzabern,,,,07272 750820,www.evu-rheinzabern.de,,True,regional
82,Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,,,,06372 922000,www.bruchmuehlbach-miesau.de,,True,regional
79,Elektrizitätsversorgung Waldsee,,,,,www.vg-rheinauen.de,,True,regional
80,Elektrizitätsversorgung Wattenheim,,,,030 27 572400,www.vg-h.de,,True,regional
81,Elektrizitätsversorgung Weilerbach,,,,06374 9220,www.evu-weilerbach.de,,True,regional
83,Elektrizitätswerk Mittelbaden AG & Co. KG,,,,07821 2800,www.e-werk-mittelbaden.de,,True,regional
84,enercity - Stadtwerke Hannover AG,,,,0511 4300,www.enercity.de/,,True,regional
13,Energie Aktiengesellschaft Iserlohn,Stefanstr. 4-8,58636,Iserlohn, ,www.energie-ag.de/,True,,
86,Energiedienst Holding AG,,,,07623 921200,www.naturenergie.de,,True,regional
14,Energiegenossenschaft Odenwald eG,Helmholtzstraße 1,64711,Erbach, ,www.eg-odenwald.de,True,,
15,energieGUT GmbH,Bungertstr. 27,47053,Duisburg, ,www.energieGUT.de,True,,
85,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),,,,0228 7111,www.stadtwerke-bonn.de,,True,regional
11,Energie- und Wasserversorgung Bruchsal GmbH,Schnabel-Henning-Str. 1a,76646,Bruchsal,07251 706444,www.bvb-blomberg.de,True,,
12,Energie- und Wasserversorgung Rheine GmbH,Hafenbahn 10,48431,Rheine,05971 45193,www.stadtwerke-rheine.de,True,,
16,Energieversorgung Bad Boll GmbH,Hauptstr. 94,73087,Bad Boll,07164 80825,www.energie-bollwerk.de,True,,
87,Energieversorgung Oberes Wiesental GmbH Todtnau,,,,07671 999960,www.eow-todtnau.de,,True,regional
17,Energieversorgung Rüsselsheim GmbH,Walter-Flex-Str. 74,65428,Rüsselsheim,06142 500222,www.stadtwerke-ruesselsheim.de,True,,
88,Energieversorung Trossingen GmbH,,,,07425 94020,www.swtro.de,,True,regional
18,Energiewerke Waldbröl GmbH,Nümbrechter Straße 6,51545,Waldbröl,02291 90880,www.ew-waldbroel.de,True,,
19,energy4u GmbH & Co. KG,Bachstraße 3,53721,Siegburg,0800 7878708,www.energy4u.de,True,,
89,Energy Air GmbH,,,,069690 60539,www.fraport.de,,True,regional
20,enewa GmbH Energie + Wasser Wachtberg,Am Wachtbergring 2a,53343,Wachtberg,0228 3773680,www.enewa.de,True,,
21,ENTEGA Energie GmbH,Frankfurter Str. 100,64289,Darmstadt,0800 1111 0555,www.entega.de,True,,
23,ESDG Energie-Service Dienstleistungsgesellschaft mbH,Tullastr. 61,79108,Freiburg, ,www.esdg.de,True,True,bundesweit
24,ESWE Versorgungs AG,Konradinerallee 25,65189,Wiesbaden, ,www.eswe-versorgung.de,True,,
25,EVH GmbH,Bornknechtstraße 5,06108,Halle (Saale),0800 581 33 33,www.evh.de,True,,
26,EWS Elektrizitätswerke Schönau Vertriebs GmbH,Friedrichstr. 53/55,79677,Schönau im Schwarzwald,07673 88850,www.ews-schoenau.de,True,,
90,Fair Trade Power Deutschland GmbH,,,,089 2112210,www.fairtradepower.de,,True,bundesweit
27,Gemeindewerke Bad Sassendorf GmbH,Eichendorffstraße 1,59505,Bad Sassendorf,02921 50581,,True,,
91,Gemeindewerke Bobenheim-Roxheim GmbH,,,,06233 6020,www.gemeindewerke-boro.de,,True,regional
92,Gemeindewerke Halstenbek,,,,04101 4907112,www.gwhalstenbek.de,,True,regional
93,Gemeindewerke Hardt,,,,07422 95880,www.hardt-online.de/gemeindewerke,,True,regional
94,Gemeindewerke Haßloch GmbH,,,,06324 59940,www.gwhassloch.de,,True,regional
95,Gemeindewerke Herxheim,,,,07276 50140,www.gemeindewerke-herxheim.de,,True,regional
96,Gemeindewerke Lambsheim,,,,06233 51090,www.lambsheim-hessheim.de,,True,regional
97,Gemeindewerke Münchweiler,,,,06395 92110,www.gemeindewerke-muenchweiler.de,,True,regional
28,Gemeindewerke Ruppichteroth GmbH,Brölstraße 5,53809,Ruppichteroth,02295 907000,,True,,
98,Gemeindewerke Waldfischbach-Burgalben,,,,06333 27580,www.energie.waldfischbach-burgalben.de,,True,regional
29,Georg Oest Mineralölwerk GmbH & Co. KG,Georg-Oest-Str. 4,72250,Freudenstadt,0744 1539112,www.oest.de,True,,
30,Greenpeace Energy eG,Hongkongstr. 10,20457,Hamburg,040 808 110600,www.greenpeace-energy.de,True,,
99,GWS Stadtwerke Hameln GmbH,,,,05151 7880,www.stadtwerke-hameln.de/,,True,regional
32,Heinrich Klöcker GmbH & Co. KG,Ahauser Str. 21,46325,Borken,0286 1800744,www.kloecker.de,True,,
33,Hellweg Energie GmbH,Bunsenstrasse 2,59557,Lippstadt,0241 282 9233,www.hellwegenergie.de,True,,
34,Hermann Bantleon GmbH,Blaubeurer Straße 32,89077,Ulm/Donau,0731 3990190,www.bantleon.de,True,,
35,HKD Handelsgesellschaft für Kirche und Diakonie mbH,Herzog-Friedrich-Str. 45,24103,Kiel,0431 54 448844,www.hkd.de,True,,
36,Hochsauerland Energie GmbH,Auf'm Brinke 11,59872,Meschede,0290 4712 8011,www.hochsauerlandenergie.de,True,,
38,KESLAR GmbH Energiehandel,Ostbahnhofstr. 1,87437,Kempten,0831 5753027,www.keslar.de,True,,
39,LichtBlick SE,Zirkusweg 6,20359,Hamburg,040 80803030,www.lichtblick.de,True,,
37,lLZHÖFERS Nachf. lnh. Walch KG,Siebentischstr. 16a,86161,Augsburg,0821 5608027,www.ilzhoefer.com,True,,
100,Mainova AG,,,,0800 1144488,www.mainova.de,,True,regional
101,MANN Naturenergie GmbH & Co. KG,,,,02661 626215,www.mannstrom.de,,True,bundesweit
41,Mark-E AG,Körnerstraße 40,58095,Hagen,0800 123 1000,www.mark-e.de,True,,
42,MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH,Rheinpromenade 3a,40789,Monheim am Rhein,02173 9520222,www.mega-monheim.de,True,,
102,Mindener Stadtwerke GmbH,,,,0800 5278941,www.mindener-stadtwerke.de,,True,regional
103,NaturEnergie + Deutschland GmbH,,,,0800 9999973,www.naturenergieplus.de/,,True,bundesweit
104,NATURSTROM AG,,,,0211 77 900 100,www.naturstrom.de,,True,bundesweit
105,NEW Niederrhein Energie und Wasser GmbH,,,,0800 6886881,www.new-energie.de,,True,regional
43,Otto Fricke & Co. GmbH,Kaiserstr. 36,33330,Gütersloh,05241 10054,www.fricke-oil.de,True,,
44,Pfalzwerke AG,Kurfüstenstr. 29,67061,Ludwigshafen,0621 570573123,www.123energie.de,True,,
106,PFALZWERKE AKTIENGESELLSCHAFT,,,,0800 2792000,www.pfalzwerke.de,,True,regional
107,Polarstern GmbH,,,,089 309042911,www.polarstern-energie.de/oekostrom/,,True,bundesweit
108,PROENGENO GmbH & Co. KG,,,,04902 9157000,www.proengeno.de,,True,bundesweit
45,PROKON regenerative Energien eG,Kirchhoffstraße 3,25524,Itzehoe,04821 6855222,www.prokon.net,True,,
109,Regionalwerk Bodensee GmbH & Co. KG,,,,07542 93790,www.rw-bodensee.de,,True,regional
46,Repower AG,Via da Clalt 12,CH-7742,Poschiavo, ,,True,,
110,REWAG Regensburger Energie- und Wasserversorgung AG & Co KG,,,,0800 6016010,www.rewag.de,,True,regional
111,RhönEnergie Fulda GmbH,,,,0661 12450,www.rhoenstrom.de,,True,bundesweit
47,Stadtwerk am See GmbH & Co. KG,Kornblumenstraße 7,88046,Friedrichshafen, ,www.stadtwerk-am-see.de,True,,
48,Stadtwerke Aachen AG,Lombardenstr. 12-22,52070,Aachen,0241 1810,www.stawag.de,True,,
49,Stadtwerke Altdorf GmbH,Hersbrucker Str. 6a,90518,Altdorf b. Nürnberg,09187 9290,www.stadtwerke-altdorf.de,True,,
112,Stadtwerke Annweiler am Trifels,,,,06346 30090,www.stadtwerke-annweiler.de,,True,regional
113,Stadtwerke Bad Dürkheim,,,,06322 935813,www.sw-duerkheim.de,,True,regional
114,Stadtwerke Bliestal GmbH,,,,06381 42070,www.stadtwerke.kusel.de,,True,regional
50,Stadtwerke Ettlingen GmbH,Hertzstraße 33,76275,Ettlingen,07243 101619,www.sw-ettlingen.de,True,,
51,Stadtwerke Eutin GmbH,Holstenstr. 6,23701,Eutin,04521 705300,www.stadtwerke-eutin.de/,True,,
52,Stadtwerke Flensburg GmbH,Batteriestr. 48,24939,Flensburg,0461 487 44 55,www.stadtwerke-flensburg.de,True,,
53,Stadtwerke Frankenthal GmbH,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.swift-energy.de,True,,
54,Stadtwerke Geldern GmbH,Markt 25,47608,Geldern,02831 933343,www.swgeldern.de,True,,
55,Stadtwerke Heidelberg Energie GmbH,Kurfürsten-Anlage 42-50,69115,Heidelberg,06221 5130,www.hvv-heidelberg.de,True,,
56,Stadtwerke Iserlohn GmbH,Stefanstr. 4-8,58636,Iserlohn,0800 5892242,www.sauerlandstrom-natur.de,True,,
57,Stadtwerke Karlsruhe GmbH,Daxlander Str. 72,76185,Karlsruhe,0800 200 300 6,www.stadtwerke-karlsruhe.de,True,,
115,Stadtwerke Lambrecht (Pfalz) GmbH,,,,06325 1890,www.sw-lambrecht.de,,True,regional
58,Stadtwerke Langenfeld GmbH,Langforter Str. 7,40764,Langenfeld,02173 979542,www.stw-langenfeld.de,True,,
59,Stadtwerke Lengerich GmbH,An der Mühlenbreede 4,49525,Lengerich,054 81 80 0540,www.stadtwerke-lengerich.de,True,,
60,Stadtwerke Lippstadt,Bunsenstr. 2,59557,Lippstadt,02941 282912,www.stadtwerke-lippstadt.de,True,,
116,Stadtwerke Löffingen,,,,07654 8020,www.stadtwerke-loeffingen.de,,True,regional
61,Stadtwerke Lüdenscheid GmbH,Lennestraße 2,58507,Lüdenscheid,0800 157 1000,www.swls.de,True,,
62,Stadtwerke Ludwigsburg-Kornwestheim GmbH,Gänsfußallee 23,71636,Ludwigsburg,07141 9102577,www.swlb.de,True,,
117,Stadtwerke Menden GmbH,,,,02373 169 2313,www.stadtwerke-menden.de,,True,regional
63,Stadtwerke MüllheimStaufen GmbH,Am Schießrain 1a,79219,Staufen i.Br.,07631 936080,www.sw-muellheimstaufen.de,True,,
118,Stadtwerke Münster GmbH,,,,0251 6941212,www.stadtwerke-muenster.de,,True,bundesweit
119,Stadtwerke Neustadt/Weinstraße GmbH,,,,06321 402271,www.swneustadt.de,,True,regional
64,Stadtwerke Pfullendorf GmbH,Bahnhofstraße 6,88630,Pfullendorf,07552 251859,www.pfullendorf.de/stadtwerke,True,,
120,Stadtwerke Pinneberg GmbH,,,,04101 2030,www.stadtwerke-pinneberg.de,,True,regional
121,Stadtwerke Pirmasens Versorgungs GmbH,,,,06331 8760,www.stadtwerke-pirmasens.de,,True,regional
