,Column_x,Firmenname,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Column_y,Firmenanschrift,PLZ,Firmenort,Telefon,Website,OK Power,Grüner Strom,Verfügbarkeit
0,35.0,BayWa Ökoenergie GmbH,True,True,True,True,5.0,Grillparzerstraße 12a,81675,München,0800 7241640,www.baywa-oekoenergie.de,True,,
1,62.0,Bremer SolidarStrom,True,,True,True,,,,,,,,,
2,37.0,BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,True,,True,,,,,,,,,
3,38.0,Bürgerinitiative Umweltschutz e.V.,True,True,,True,,,,,,,,,
4,39.0,Bürgerwerke eG,True,True,True,True,77.0,,,,06221 3928920,https://buergerwerke.de,,True,bundesweit
5,5.0,DB Energie,True,True,,,,,,,,,,,
6,15.0,Die Heidelberger Solidarstromer,True,,,True,,,,,,,,,
7,29.0,Die Schriesheimer Ökostromer,True,,,True,,,,,,,,,
8,40.0,energieGUT GmbH,True,True,,,15.0,Bungertstr. 27,47053,Duisburg, ,www.energieGUT.de,True,,
9,14.0,EVH Energieversorgung Halle GmbH,True,True,,,,,,,,,,,
10,41.0,energy4u GmbH & Co. KG,True,True,,,19.0,Bachstraße 3,53721,Siegburg,0800 7878708,www.energy4u.de,True,,
11,6.0,Enspire Energie - Marke der Stadtwerke Konstanz,True,True,True,True,,,,,,,,,
12,43.0,ENTEGA Energie GmbH,True,True,True,,21.0,Frankfurter Str. 100,64289,Darmstadt,0800 1111 0555,www.entega.de,True,,
13,45.0,EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,True,True,True,True,,,,,,,,,
14,46.0,Fair Trade Power Deutschland GmbH,True,True,True,,90.0,,,,089 2112210,www.fairtradepower.de,,True,bundesweit
15,47.0,GENO Energie GmbH,True,True,,,,,,,,,,,
16,48.0,Greenpeace Energy eG,True,True,True,True,30.0,Hongkongstr. 10,20457,Hamburg,040 808 110600,www.greenpeace-energy.de,True,,
17,23.0,Klimaschutz+ Energiegenossenschaft,True,,,True,,,,,,,,,
18,16.0,LichtBlick,True,True,True,,,,,,,,,,
19,17.0,MANN Naturenergie GmbH & Co. KG ,True,True,True,True,,,,,,,,,
20,50.0,NATURSTROM AG/ NaturStromHandel GmbH,True,True,True,True,,,,,,,,,
21,51.0,NN,,True,,,,,,,,,,,
22,52.0,Nordstadtwerke GmbH,True,True,,,,,,,,,,,
23,77.0,Ökostromer Edingen-Neckarhausen ,True,,True,True,,,,,,,,,
24,0.0,123energie - Marke der Pfalzwerke,True,True,,,,,,,,,,,
25,53.0,Polarstern Energie,True,True,True,True,,,,,,,,,
26,54.0,ProEngeno GmbH und Co. KG,True,True,True,True,,,,,,,,,
27,55.0,PROKON Regenerative Energien eG,True,True,True,True,,,,,,,,,
28,30.0,Simply Green - Marke der ProSiebenSat.1 Digital,True,True,,,,,,,,,,,
29,28.0,RhönEnergie Fulda,True,,,,,,,,,,,,
30,83.0,Savero,,,,True,,,,,,,,,
31,57.0,Stadtwerke Flensburg GmbH,True,True,,,52.0,Batteriestr. 48,24939,Flensburg,0461 487 44 55,www.stadtwerke-flensburg.de,True,,
32,58.0,Stadtwerke Müllheim Staufen GmbH,True,True,,True,,,,,,,,,
33,59.0,Stadtwerke Münster GmbH,True,True,,,118.0,,,,0251 6941212,www.stadtwerke-muenster.de,,True,bundesweit
34,60.0,susiEnergie,True,True,,,,,,,,,,,
35,61.0,wemio,True,True,,,,,,,,,,,
36,,Agger Energie GmbH,,,,,75.0,,,,02261 30030,www.aggerenergie.de,,True,regional
37,,Albwerk GmbH & Co. KG,,,,,0.0,Eybstraße 98-102,73312,Geislingen,07331 209600,www.albwerk.de,True,,
38,,ASEW Energie und Umwelt Service GmbH & Co. KG,,,,,1.0,Eupener Str. 74,50933,Köln,0221 93181918,www.asew.de,True,,
39,,AVIA AG,,,,,2.0,Grillparzerstr. 8,81675,München,089 4550450,www.avia.de,True,,
40,,AVU Aktiengesellschaft für Versorgungs-Unternehmen ,,,,,3.0,An der Drehbank 18,58285,Gevelsberg,02332 73605,www.avu.de,True,,
