Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift,PLZ,Firmenort,Telefon,Website,Verfügbarkeit
123energie / Pfalzwerke AG,True,True,True,True,,,Kurfüstenstr. 29,67061,Ludwigshafen,0621 570573123,www.123energie.de,bundesweit
Agger Energie GmbH,True,,,,,,Alexander-Fleming-Straße 2,51643,Gummersbach,02261 30030,www.aggerenergie.de,regional
Albwerk GmbH & Co. KG,,True,,,,,Eybstraße 98-102,73312,Geislingen,07331 209600,www.albwerk.de,
ASEW Energie und Umwelt Service GmbH & Co. KG,,True,,,,,Eupener Str. 74,50933,Köln,0221 93181918,www.asew.de,
AVIA AG,,True,,,,,Grillparzerstr. 8,81675,München,089 4550450,www.avia.de,
AVU Aktiengesellschaft für Versorgungs-Unternehmen ,,True,,,,,An der Drehbank 18,58285,Gevelsberg,02332 73605,www.avu.de,
badenova AG & Co. KG,,True,,,,,Tullastr. 61,79108,Freiburg,08002 83 84 85,www.badenova.de,
BayWa Ökoenergie GmbH,,True,True,True,True,True,Grillparzerstraße 12a,81675,München,0800 7241640,www.baywa-oekoenergie.de,
Blomberger Versorgungsbetriebe GmbH,,True,,,,,Nederlandstr. 15,32825,Blomberg,05235 95023051,www.bvb-blomberg.de,
Bremer SolidarStrom,,,True,,True,True,,,,,,
BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,,True,True,,True,,,,0531 3830,www.bs-energy.de,bundesweit
Bürgerinitiative Umweltschutz e.V.,,,True,True,,True,,,,,,
Bürgerwerke eG,True,,True,True,True,True,,,,06221 3928920,https://buergerwerke.de,bundesweit
ComMetering GmbH,,True,,,,,Rathausstraße 4,88457,Kirchdorf, ,www.commetering.de,
DB Energie GmbH,,True,True,True,,,Pfarrer-Perabo-Platz 2,60326,Frankfurt,069 26523715,www.dbenergie.de,
Die Heidelberger Solidarstromer / Klimaschutz+ Energiegenossenschaft e.G,,,True,,,True,Pferchelhang 18,69118,Heidelberg,,https://heidelberger.solidarstrom.de/,
Die Schriesheimer Ökostromer,,,True,,,True,,,,,,
EGT Energiehandel GmbH,,True,,,,,Schonacherstr. 2,78098,Triberg, ,www.egt.de,
Elektrizitätsgenossenschaft Dirmstein eG,True,True,,,,,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.egdirmstein.de,regional
Elektrizitätsversorgung Rheinzabern,True,,,,,,,,,07272 750820,www.evu-rheinzabern.de,regional
Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,True,,,,,,,,,06372 922000,www.bruchmuehlbach-miesau.de,regional
