,Firmenname,Grüner Strom,OK Power,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Firmenanschrift_x,PLZ_x,Firmenort_x,Telefon,Website,Verfügbarkeit,Firmenanschrift_y,PLZ_y,Firmenort_y,Stromauskunft,Verivox
0,123energie / Pfalzwerke AG,True,True,True,True,,,Kurfüstenstr. 29,67061,Ludwigshafen,0621 570573123,www.123energie.de,bundesweit,,,,,
1,Agger Energie GmbH,True,,,,,,Alexander-Fleming-Straße 2,51643,Gummersbach,02261 30030,www.aggerenergie.de,regional,,,,,
2,Albwerk GmbH & Co. KG,,True,,,,,Eybstraße 98-102,73312,Geislingen,07331 209600,www.albwerk.de,,Eybstr. 98-100,73312,Geislingen an der Steige,True,True
3,ASEW Energie und Umwelt Service GmbH & Co. KG,,True,,,,,Eupener Str. 74,50933,Köln,0221 93181918,www.asew.de,,,,,,
4,AVIA AG,,True,,,,,Grillparzerstr. 8,81675,München,089 4550450,www.avia.de,,,,,,
5,AVU Aktiengesellschaft für Versorgungs-Unternehmen ,,True,,,,,An der Drehbank 18,58285,Gevelsberg,02332 73605,www.avu.de,,,,,,
6,badenova AG & Co. KG,,True,,,,,Tullastr. 61,79108,Freiburg,08002 83 84 85,www.badenova.de,,Tullastraße 61,79108,Freiburg,True,True
7,BayWa Ökoenergie GmbH,,True,True,True,True,True,Grillparzerstraße 12a,81675,München,0800 7241640,www.baywa-oekoenergie.de,,Arabellastraße 4,81925,München,True,True
8,Blomberger Versorgungsbetriebe GmbH,,True,,,,,Nederlandstr. 15,32825,Blomberg,05235 95023051,www.bvb-blomberg.de,,Nederlandstraße 15,32825,Blomberg,True,True
9,Bremer SolidarStrom,,,True,,True,True,,,,,,,,,,,
10,BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,,True,True,,True,,,,0531 3830,www.bs-energy.de,bundesweit,,,,,
11,Bürgerinitiative Umweltschutz e.V.,,,True,True,,True,,,,,,,,,,,
12,Bürgerwerke eG,True,,True,True,True,True,,,,06221 3928920,https://buergerwerke.de,bundesweit,,,,,True
13,ComMetering GmbH,,True,,,,,Rathausstraße 4,88457,Kirchdorf, ,www.commetering.de,,,,,,
14,DB Energie GmbH,,True,True,True,,,Pfarrer-Perabo-Platz 2,60326,Frankfurt,069 26523715,www.dbenergie.de,,,,,,
15,Die Heidelberger Solidarstromer / Klimaschutz+ Energiegenossenschaft e.G,,,True,,,True,Pferchelhang 18,69118,Heidelberg,,https://heidelberger.solidarstrom.de/,,,,,,
16,Die Schriesheimer Ökostromer,,,True,,,True,,,,,,,,,,,
17,EGT Energiehandel GmbH,,True,,,,,Schonacherstr. 2,78098,Triberg, ,www.egt.de,,,,,,
18,Elektrizitätsgenossenschaft Dirmstein eG,True,True,,,,,Wormser Straße 111,67227,Frankenthal (Pfalz),06233 6020,www.egdirmstein.de,regional,,,,,
19,Elektrizitätsversorgung Rheinzabern,True,,,,,,,,,07272 750820,www.evu-rheinzabern.de,regional,,,,,
20,Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,True,,,,,,,,,06372 922000,www.bruchmuehlbach-miesau.de,regional,,,,,
21,Elektrizitätsversorgung Waldsee,True,,,,,,,,,,www.vg-rheinauen.de,regional,,,,,
22,Elektrizitätsversorgung Wattenheim,True,,,,,,,,,030 27 572400,www.vg-h.de,regional,,,,,
23,Elektrizitätsversorgung Weilerbach,True,,,,,,,,,06374 9220,www.evu-weilerbach.de,regional,,,,,
24,Elektrizitätswerk Mittelbaden AG & Co. KG,True,,,,,,,,,07821 2800,www.e-werk-mittelbaden.de,regional,,,,,True
25,enercity - Stadtwerke Hannover AG,True,,,,,,,,,0511 4300,www.enercity.de/,regional,,,,,
26,Energie Aktiengesellschaft Iserlohn,,True,,,,,Stefanstr. 4-8,58636,Iserlohn, ,www.energie-ag.de/,,,,,,True
27,Energiedienst Holding AG,True,,,,,,,,,07623 921200,www.naturenergie.de,regional,,,,,
28,Energiegenossenschaft Odenwald eG,,True,,,,,Helmholtzstraße 1,64711,Erbach, ,www.eg-odenwald.de,,,,,,
29,energieGUT GmbH,,True,True,True,,,Bungertstr. 27,47053,Duisburg, ,www.energieGUT.de,,Bungertstr. 27,47053,Duisburg,True,True
30,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),True,,,,,,,,,0228 7111,www.stadtwerke-bonn.de,regional,,,,,
31,Energie- und Wasserversorgung Bruchsal GmbH,,True,,,,,Schnabel-Henning-Str. 1a,76646,Bruchsal,07251 706444,www.bvb-blomberg.de,,,76646,Bruchsal,True,True
32,Energie- und Wasserversorgung Rheine GmbH,,True,,,,,Hafenbahn 10,48431,Rheine,05971 45193,www.stadtwerke-rheine.de,,Hafenbahn 10,48431,Rheine,True,True
33,Energieversorgung Bad Boll GmbH,,True,,,,,Hauptstr. 94,73087,Bad Boll,07164 80825,www.energie-bollwerk.de,,Eybstraße 98 - 102,73312,Geislingen,True,True
34,Energieversorgung Oberes Wiesental GmbH Todtnau,True,,,,,,,,,07671 999960,www.eow-todtnau.de,regional,,,,,
35,Energieversorgung Rüsselsheim GmbH,,True,,,,,Walter-Flex-Str. 74,65428,Rüsselsheim,06142 500222,www.stadtwerke-ruesselsheim.de,,Walter-Flex-Straße 74,65428,Rüsselsheim,True,True
36,Energieversorung Trossingen GmbH,True,,,,,,,,,07425 94020,www.swtro.de,regional,,,,,
37,Energiewerke Waldbröl GmbH,,True,,,,,Nümbrechter Straße 6,51545,Waldbröl,02291 90880,www.ew-waldbroel.de,,,,,,
38,energy4u GmbH & Co. KG,,True,True,True,,,Bachstraße 3,53721,Siegburg,0800 7878708,www.energy4u.de,,,,,,True
