Firmenname,Grüner Strom,OK Power,Stromauskunft,Verivox,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom,Telefon,Website,Verfügbarkeit,Firmenanschrift,PLZ,Firmenort
123energie - eine Marke der Pfalzwerke AG,,True,True,True,True,True,,,0621 570573123,www.123energie.de,,Kurfürstenstraße 29,67061,Ludwigshafen
17er Oberlandenergie GmbH,,,True,True,,,,,,,,Viehmarktplatz 1,82418,Murnau am Staffelsee
24/7 Energie und Kommunikation GmbH,,,True,True,,,,,,,,Meeboldstraße 1,89522,Heidenheim
4hundred GmbH,,,,True,,,,,,,,,,
Abens-Donau Energie GmbH,,,,True,,,,,,,,,,
Abita Energie Otterberg GmbH,,,True,True,,,,,,,,Bismarckstrasse 14,67655,Kaiserslautern
Agger Energie GmbH,True,,True,True,,,,,02261 30030,www.aggerenergie.de,regional,Alexander-Fleming-Str. 2,51643,Gummersbach
Ahrtal-Werke GmbH,,,True,True,,,,,,,,Hauptstraße 116,53474,Bad Neuenahr-Ahrweiler
Albstadtwerke GmbH,,,True,True,,,,,,,,Goethestraße 91,72461,Albstadt
Albwerk GmbH & Co. KG,,True,True,True,,,,,07331 209600,www.albwerk.de,,Eybstr. 98-100,73312,Geislingen an der Steige
Allgäuer Kraftwerke GmbH,,,True,True,,,,,,,,Am Alten Bahnhof 10,87527,Sonthofen
Allgäuer Überlandwerk GmbH,,,True,True,,,,,,,,Illerstraße 18,87435,Kempten
Ammer-Loisach Energie GmbH,,,True,True,,,,,,,,Schnitzlergasse 5,82487,Oberammergau
Aschaffenburger Versorgungs-GmbH,,,True,True,,,,,,,,Werkstraße 2,63739,Aschaffenburg
ASEW Energie und Umwelt Service GmbH & Co. KG,,True,,,,,,,0221 93181918,www.asew.de,,Eupener Str. 74,50933,Köln
Audax Energie GmbH,,,,True,,,,,,,,,,
AVIA AG,,True,,,,,,,089 4550450,www.avia.de,,Grillparzerstr. 8,81675,München
AVU Aktiengesellschaft für Versorgungs-Unternehmen,,True,True,True,,,,,02332 73605,www.avu.de,,An der Drehbank 18,58285,Gevelsberg
badenova AG & Co. KG,,True,True,True,,,,,08002 83 84 85,www.badenova.de,,Tullastraße 61,79108,Freiburg
Bad Honnef AG,,,,True,,,,,,,,,,
Bad Lauterberg Energie GmbH,,,True,True,,,,,,,,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz
Bauer Elektrounternehmen GmbH & Co.KG,,,,True,,,,,,,,,,
Bayernwerk Regio Energie GmbH,,,,True,,,,,,,,,,
BayWa Ökoenergie GmbH,,True,True,True,True,True,True,True,0800 7241640,www.baywa-oekoenergie.de,,Arabellastraße 4,81925,München
"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",,,True,True,,,,,,,,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach
Benergie-Service GmbH,,,,True,,,,,,,,,,
BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,,,,True,,,,,,,,,,
Berliner Stadtwerke GmbH,,,,True,,,,,,,,,,
BeSte Stadtwerke GmbH,,,True,True,,,,,,,,Im Altenhagen 1,32839,Steinheim
BEW Bergische Energie- und Wasser-GmbH,,,True,True,,,,,,,,Sonnenweg 30,51688,Wipperfürth
BIGGE ENERGIE GmbH & Co. KG,,,True,True,,,,,,,,In der Stesse 14,57439,Attendorn
Blomberger Versorgungsbetriebe GmbH,,True,True,True,,,,,05235 95023051,www.bvb-blomberg.de,,Nederlandstraße 15,32825,Blomberg
Bocholter Energie- und Wasserversorgung GmbH,,,True,True,,,,,,,,Kaiser-Wilhelm-Straße 1,46395,Bocholt
Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,,,,True,,,,,,,,,,
Bonus Strom GmbH,,,,True,,,,,,,,,,
Braunschweiger Versorgungs-AG & Co. KG,,,True,True,,,,,,,,Taubenstraße 7,38106,Braunschweig
Bremer SolidarStrom,,,,,True,,True,True,,,,,,
BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,True,,,,True,True,,True,0531 3830,www.bs-energy.de,bundesweit,,,
Burgenland Energie GmbH,,,,True,,,,,,,,,,
Bürger Energie Genossenschaft Freisinger Land e.G.,,,,True,,,,,,,,,,
BürgerEnergie Solingen eG,,,,True,,,,,,,,,,
Bürgerinitiative Umweltschutz e.V.,,,,,True,True,,True,,,,,,
Bürgerwerke eG,True,,,True,True,True,True,True,06221 3928920,https://buergerwerke.de,bundesweit,,,
C. Ensinger GmbH & Co.KG,,,,True,,,,,,,,,,
CB Energie GmbH,,,,True,,,,,,,,,,
Citiwerke - eine Marke der Thüga Energie GmbH,,,,True,,,,,,,,,,
ComMetering GmbH,,True,,,,,,, ,www.commetering.de,,Rathausstraße 4,88457,Kirchdorf
Cramer Mühle KG,,,,True,,,,,,,,,,
DB Energie GmbH,,True,,,True,True,,,069 26523715,www.dbenergie.de,,Pfarrer-Perabo-Platz 2,60326,Frankfurt
Dessauer Stromversorgung GmbH,,,True,True,,,,,,,,Albrechtstraße 48,06844,Dessau
die energievorsorger GmbH,,,True,True,,,,,,,,Höhenweg 14,49170,Hagen a.T.W.
Die Heidelberger Solidarstromer,,,,,True,,,True,,,,,,
Die Schriesheimer Ökostromer,,,,,True,,,True,,,,,,
Donau-Stadtwerke Dillingen-Lauingen,,,,True,,,,,,,,,,
Dortmunder Energie- und Wasserversorgung GmbH,,,,True,,,,,,,,,,
Dreipunkt Energie - eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,,,,True,,,,,,,,,,
Dreischtrom GmbH,,,,True,,,,,,,,,,
DREWAG - Stadtwerke Dresden GmbH,,,True,True,,,,,,,,Friedrich-List-Platz 2,01069,Dresden
E.ON Energie Deutschland GmbH,,,True,True,,,,,,,,Arnulfstraße 203,80634,München
E.VITA GmbH,,,,True,,,,,,,,,,
e.wa riss GmbH & Co KG,,,True,True,,,,,,,,Freiburger Straße 6,88400,Biberach
EAM Energie GmbH,,,True,True,,,,,,,,Monteverdistraße 2,34131,Kassel
EBERwerk GmbH & Co. KG,,,,True,,,,,,,,,,
EBLD Schweiz Strom GmbH,,,,True,,,,,,,,,,
EDIE Strom - eine Marke der MAINGAU Energie GmbH,,,,True,,,,,,,,,,
EGF EnergieGesellschaft Frankenberg mbH,,,,True,,,,,,,,,,
EGT Energievertrieb GmbH,,True,True,True,,,,,,www.egt.de,,Schonacher Str. 2,78098,Triberg
EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,,,,True,,,,,,,,,,
Eichenmüller GmbH & Co. KG,,,,True,,,,,,,,,,
Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,,,True,True,,,,,,,,Am Euzenberg 32,37115,Duderstadt
Einhorn Energie GmbH & Co. KG,,,,True,,,,,,,,,,
eins energie in sachsen GmbH & Co. KG,,,True,True,,,,,,,,Augustusburger Straße 1,09111,Chemnitz
Eisenacher Versorgungs-Betriebe GmbH,,,,True,,,,,,,,,,
Elektra-Genossenschaft Effeltrich eG,,,True,True,,,,,,,,Hauptstr. 1,91090,Effeltrich
Elektra-Genossenschaft Pinzberg eG,,,,True,,,,,,,,,,
Elektrizitäts-Genossenschaft Dirmstein eG,True,True,,True,,,,,06233 6020,www.egdirmstein.de,regional,Wormser Straße 111,67227,Frankenthal (Pfalz)
Elektrizitätsgenossenschaft Engelsberg e.G.,,,True,True,,,,,,,,Osnabrücker Straße 31a,49219,Glandorf
Elektrizitätsgenossenschaft Hasbergen eG,,,,True,,,,,,,,,,
Elektrizitätsgenossenschaft Karlstein eG,,,True,True,,,,,,,,Weitwiesenring 6,83435,Bad Reichenhall
Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,,,,True,,,,,,,,,,
Elektrizitätsgenossenschaft Oesterweg eG,,,,True,,,,,,,,,,
Elektrizitätsgenossenschaft Ohlstadt eG,,,True,True,,,,,,,,Schwaigweg 7,82441,Ohlstadt
Elektrizitätsgenossenschaft Rettenberg eG,,,True,True,,,,,,,,Burgberger Str. 24,87549,Rettenberg
Elektrizitäts-Genossenschaft Röthenbach eG,,,,True,,,,,,,,,,
Elektrizitäts-Genossenschaft Schlachters eG,,,,True,,,,,,,,,,
Elektrizitäts-Genossenschaft Schonstett eG,,,,True,,,,,,,,,,
Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,,,True,True,,,,,,,,Stefan-Flötzl-Str. 4,83342,Tacherting
Elektrizitätsgenossenschaft Unterneukirchen eG,,,,True,,,,,,,,,,
Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,,,True,True,,,,,,,,Höpfling 2,83313,Siegsdorf
Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,,,True,True,,,,,,,,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf
Elektrizitätsgesellschaft Levern eG,,,,True,,,,,,,,,,
Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,,,True,True,,,,,,,,Lindenstraße 14,83620,Feldkirchen-Westerham
Elektrizitätsvereinigung Böbing eG,,,True,True,,,,,,,,Riedelweg 2,82389,Böbing
Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,,,True,True,,,,,,,,Am Plan 4-6,97469,Gochsheim
Elektrizitäts-VersorgungGenossenschaft Perlesreut eG,,,,True,,,,,,,,,,
Elektrizitätsversorgung Rheinzabern,True,,,,,,,,07272 750820,www.evu-rheinzabern.de,regional,,,
Elektrizitätsversorgungsunternehmen Bruchmühlbach-Miesau,True,,,,,,,,06372 922000,www.bruchmuehlbach-miesau.de,regional,,,
Elektrizitätsversorgung Waldsee,True,,,,,,,,,www.vg-rheinauen.de,regional,,,
Elektrizitätsversorgung Wattenheim,True,,,,,,,,030 27 572400,www.vg-h.de,regional,,,
Elektrizitätsversorgung Weilerbach,True,,,,,,,,06374 9220,www.evu-weilerbach.de,regional,,,
Elektrizitätswerk Aach GmbH,,,,True,,,,,,,,,,
Elektrizitätswerk des Kantons Schaffhausen AG,,,True,True,,,,,,,,Rheinstr. 37,CH-8200 ,Schaffhausen
Elektrizitätswerk Diessen Stadler GmbH,,,,True,,,,,,,,,,
Elektrizitätswerke Reutte GmbH & Co KG,,,True,True,,,,,,,,Lechhalde 1 1/2,87629,Füssen
Elektrizitätswerk Gemeinde Glattbach,,,True,True,,,,,,,,Im Wiesengrund 3,63864,Glattbach
Elektrizitätswerk Georg Grandl e.K.,,,,True,,,,,,,,,,
Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,,,,True,,,,,,,,,,
Elektrizitätswerk Haimmerer,,,,True,,,,,,,,,,
Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,,,True,True,,,,,,,,Im Geisenborn 4,56242,Selters
Elektrizitätswerk Hauenstein,,,,True,,,,,,,,,,
Elektrizitätswerk Heinrich Schirmer,,,,True,,,,,,,,,,
Elektrizitätswerk Hindelang eG,,,True,True,,,,,,,,Weidachstrasse 9,87541,Bad Hindelang
Elektrizitätswerk Karl Stengle GmbH & Co KG,,,True,True,,,,,,,,Niedere-Au-Straße 11,72108,Rottenburg a. N.
Elektrizitätswerk Landsberg GmbH,,,,True,,,,,,,,,,
Elektrizitätswerk Leitlein GmbH & Co. KG,,,,True,,,,,,,,,,
Elektrizitäts-Werk Mainbernheim GmbH,,,True,True,,,,,,,,Am Wehrbach 1,97350,Mainbernheim
Elektrizitätswerk Markt Obernzell,,,,True,,,,,,,,,,
Elektrizitätswerk Max Peißker,,,,True,,,,,,,,,,
Elektrizitätswerk Mittelbaden AG & Co. KG,True,,,True,,,,,07821 2800,www.e-werk-mittelbaden.de,regional,,,
Elektrizitätswerk Müller Tauberrettersheim,,,,True,,,,,,,,,,
Elektrizitätswerk Oberwössen eG,,,True,True,,,,,,,,Dorfstraße 28,83246,Oberwössen
Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,,,,True,,,,,,,,,,
Elektrizitäts-Werk Ottersberg,,,True,True,,,,,,,,Grüne Straße 24,28870,Ottersberg
Elektrizitätswerk Rieger GmbH & Co. KG,,,True,True,,,,,,,,Friedrichstrasse 16,72805,Lichtenstein
Elektrizitätswerk Rohmund GmbH,,,,True,,,,,,,,,,
Elektrizitätswerk Rosenmühle e.K.,,,,True,,,,,,,,,,
Elektrizitätswerk Schweiger GmbH,,,,True,,,,,,,,,,
Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,,,True,True,,,,,,,,Hochfeldstraße 3,83684,Tegernsee
Elektrizitätswerk Wanfried von Scharfenberg KG,,,True,True,,,,,,,,Unter der Tränke 1,37281,Wanfried
Elektrizitätswerk Weißenhorn AG,,,,True,,,,,,,,,,
Elektrizitätswerk Wennenmühle Schörger KG,,,,True,,,,,,,,,,
Elektro-Trück GmbH,,,,True,,,,,,,,,,
Elogico - eine Marke der ENSTROGA AG,,,,True,,,,,,,,,,
EMB Energie Mark Brandenburg GmbH,,,True,True,,,,,,,,Großbeerenstraße 181 - 18,14482,Potsdam
EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,,,True,True,,,,,,,,Luitpoldstraße 17,63897,Miltenberg
Emil Energie GmbH,,,,True,,,,,,,,,,
EMMA Energie - eine Marke von TWL Energie Deutschland GmbH,,,,True,,,,,,,,,,
Emscher Lippe Energie GmbH,,,True,True,,,,,,,,Ebertstr.30,45879,Gelsenkirchen
EnBW Energie Baden-Württemberg AG,,,True,True,,,,,,,,Durlacher Allee 93,76131,Karlsruhe
EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,,,True,True,,,,,,,,Unterer Brühl 2,73479,Ellwangen
enercity - Stadtwerke Hannover AG,True,,True,True,,,,,0511 4300,www.enercity.de/,regional,Ihmeplatz 2,30449,Hannover
eneREGIO GmbH,,,,True,,,,,,,,,,
Energie Aktiengesellschaft Iserlohn,,True,,True,,,,, ,www.energie-ag.de/,,Stefanstr. 4-8,58636,Iserlohn
Energie Calw GmbH,,,,True,,,,,,,,,,
Energiedienst AG,,,True,True,,,,,,,,Schönenbergerstr. 10,79618,Rheinfelden
Energiedienst Holding AG,True,,True,True,,,,,07623 921200,www.naturenergie.de,regional,Schönenbergerstr. 10,79618,Rheinfelden
Energiegenossenschaft für Wittmund eG,,,True,True,,,,,,,,Aseler-Str. 10,26409,Wittmund
Energiegenossenschaft Odenwald eG,,True,,,,,,, ,www.eg-odenwald.de,,Helmholtzstraße 1,64711,Erbach
Energie-Gesellschaft Unterkirnach mbH,,,True,True,,,,,,,,Hauptstraße 5,78089,Unterkirnach
energieGUT GmbH,,True,True,True,True,True,,, ,www.energieGUT.de,,Bungertstr. 27,47053,Duisburg
energiehoch3 GmbH,,,True,True,,,,,,,,Ostring 28,44787,Bochum
Energie Nordeifel GmbH & Co. KG,,,,True,,,,,,,,,,
Energie Rellingen - eine Marke der Stadtwerke Elmshorn,,,True,True,,,,,,,,Westerstr. 50 - 54,25336,Elmshorn
Energie Rhein-Sieg GmbH,,,True,True,,,,,,,,Südstraße 27,53757,Sankt Augustin
Energie SaarLorLux AG,,,,True,,,,,,,,,,
Energie Sachsenheim GmbH & Co. KG,,,,True,,,,,,,,,,
Energie Südbayern GmbH,,,True,True,,,,,,,,Ungsteiner Straße 31,81539,München
EnergieSüdwest Aktiengesellschaft,,,True,True,,,,,,,,Industriestr. 18,76829,Landau
Energie und Versorgung Butzbach GmbH,,,True,True,,,,,,,,Himmrichsweg 2,35510,Butzbach
Energie und Wasser Potsdam GmbH,,,True,True,,,,,,,,Steinstr. 101,14480,Potsdam
Energie und Wasserversorgung Aktiengesellschaft Kamenz,,,,True,,,,,,,,,,
Energie- und Wasserversorgung Altenburg GmbH,,,True,True,,,,,,,,Franz-Mehring-Straße 6,04600,Altenburg
Energie- und Wasserversorgung Bitz GmbH,,,True,True,,,,,,,,Goethestraße 91,72461,Albstadt
Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH (SWB Energie und Wasser),True,,,,,,,,0228 7111,www.stadtwerke-bonn.de,regional,,,
Energie- und Wasserversorgung Bruchsal GmbH,,True,True,True,,,,,07251 706444,www.bvb-blomberg.de,,Schnabel-Henning-Str. 1a,76646,Bruchsal
Energie- und Wasserversorgung Bünde GmbH,,,True,True,,,,,,,,Osnabrücker Str. 205,32257,Bünde
Energie- und Wasserversorgung Kirchzarten GmbH,,,True,True,,,,,,,,Hauptstrasse 24,79199,Kirchzarten
Energie- und Wasserversorgung Rheine GmbH,,True,True,True,,,,,05971 45193,www.stadtwerke-rheine.de,,Hafenbahn 10,48431,Rheine
Energie und Wasser Wahlstedt/Bad Segeberg GmbH & Co KG,,,True,True,,,,,,,,Am Wasserwerk 5,23795,Bad Segeberg
Energie und Wasser Waldbröl GmbH,,,,True,,,,,,,,,,
Energie- und Wasserwerke Bautzen GmbH,,,True,True,,,,,,,,Schäfferstraße 44,02625,Bautzen
Energieversorgung Alzenau GmbH,,,,True,,,,,,,,,,
Energieversorgung Apolda GmbH,,,,True,,,,,,,,,,
