,Firmenname,Firmenanschrift,PLZ,Firmenort,Stromauskunft,Verivox
0,RheinEnergie AG,Parkgürtel 24,50823,Köln,True,True
1,WSW Energie & Wasser AG,Bromberger Str. 39 - 41,42281,Wuppertal,True,True
2,enercity AG,Ihmeplatz 2,30449,Hannover,True,True
3,Elektrizitätswerke Schönau Vertriebs GmbH,Friedrichstraße 53/55,79677,Schönau/Schw.,True,True
4,Stadtwerke Leipzig GmbH,Eutritzscher Str. 17-19,04105,Leipzig,True,True
5,Stadtwerke Soest GmbH,Aldegreverwall 12,59494,Soest,True,True
6,Energiedienst AG,Schönenbergerstr. 10,79618,Rheinfelden,True,True
7,die energievorsorger GmbH,Höhenweg 14,49170,Hagen a.T.W.,True,True
8,BayWa Ökoenergie GmbH,Arabellastraße 4,81925,München,True,True
9,Greenpeace Energy eG,Hongkongstr. 10,20457,Hamburg,True,True
10,energieGUT GmbH,Bungertstr. 27,47053,Duisburg,True,True
11,badenova AG & Co. KG,Tullastraße 61,79108,Freiburg,True,True
12,MAINGAU Energie GmbH,Ringstraße 4 - 6,63179,Obertshausen,True,True
13,eprimo GmbH,Flughafenstrasse 20,63263,Neu-Isenburg,True,True
14,Yello Strom GmbH,Siegburger Straße 229,50679,Köln,True,True
15,team energie GmbH & Co. KG,team Allee 22,24392,Süderbrarup,True,True
16,MONTANA Energieversorgung GmbH & Co. KG,Dr.-Max-Straße 26,82031,Grünwald,True,True
17,lekker Energie GmbH,Invalidenstraße 17 a,10115,Berlin,True,True
18,Energieversorgung Filstal GmbH & Co. KG,Großeislinger Str. 30,73033,Göppingen,True,True
19,NaturStromHandel GmbH,Parsevalstraße 11,40468,Düsseldorf,True,True
20,LichtBlick SE,Zirkusweg 6,20359,Hamburg,True,True
21,Oberhessische Versorgungsbetriebe AG,Hanauer Straße 9-13,61169,Friedberg,True,True
22,Stadtwerke Schwerin GmbH (SWS),Eckdrift 43-45,19061,Schwerin,True,True
23,Stadtwerke Hamm GmbH,Südring 1 - 3,59065,Hamm,True,True
24,rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,True,True
25,Stadtwerke Duisburg AG,Bungertstr. 27,47053,Duisburg,True,True
26,LogoEnergie GmbH,Münsterstraße 9,53881,Euskirchen,True,True
27,EMB Energie Mark Brandenburg GmbH,Großbeerenstraße 181 - 18,14482,Potsdam,True,True
28,Stadtwerke Bochum GmbH,Ostring 28,44787,Bochum,True,True
29,NEW Niederrhein Energie und Wasser GmbH,Odenkirchener Str. 201,41236,Mönchengladbach,True,True
30,ENTEGA Energie GmbH,Frankfurter Str. 100,64293,Darmstadt,True,True
31,Stadtwerke Fellbach GmbH,Ringstraße 5,70736,Fellbach,True,True
32,susiEnergie GmbH,Gerberstraße 7,88250,Weingarten,True,True
33,Stadtwerke Tübingen GmbH,Eisenhutstr.6,72072,Tübingen,True,True
34,Stadtwerke Rostock AG,Schmarler Damm 5,18069,Rostock,True,True
35,Stadtwerke Wedel GmbH,Feldstraße 150,22880,Wedel,True,True
36,ESWE Versorgungs AG,Konradinerallee 25,65189,Wiesbaden,True,True
37,FairEnergie GmbH,Hauffstraße 89,72762,Reutlingen,True,True
38,Süwag Vertrieb AG & Co. KG,Schützenbleiche 9-11,65929,Frankfurt am Main,True,True
39,Stadtwerke Oranienburg GmbH,Klagenfurter Str. 41,16515,Oranienburg,True,True
40,EWE VERTRIEB GmbH,Cloppenburger Str. 310,26133,Oldenburg,True,True
41,Pfalzwerke AG,Kurfürstenstr. 29,67061,Ludwigshafen,True,True
42,TEAG Thüringer Energie AG,Schwerborner Straße 30,99087,Erfurt,True,True
43,E.ON Energie Deutschland GmbH,Arnulfstraße 203,80634,München,True,True
44,SWM Versorgungs GmbH,Emmy-Noether-Straße 2,80992,München,True,True
45,Stadtwerke Flensburg GmbH,Batteriestr. 48,24939,Flensburg,True,True
46,envia Mitteldeutsche Energie AG,Chemnitztalstraße 13,09114,Chemnitz,True,True
47,Stadtwerke Düsseldorf AG,Höherweg 100,40233,Düsseldorf,True,True
48,WEMAG AG,Obotritenring 40,19053,Schwerin,True,True
49,SWT Stadtwerke Trier Versorgungs-GmbH,Ostallee 7-13,54290,Trier,True,True
50,Mainova AG,Solmsstr. 38,60486,Frankfurt am Main,True,True
51,123energie - eine Marke der Pfalzwerke AG,Kurfürstenstraße 29,67061,Ludwigshafen,True,True
52,Vattenfall Europe Sales GmbH,Überseering 12,22297,Hamburg,True,True
53,Vattenfall Europe Sales GmbH,Überseering 12,22297,Hamburg,True,True
54,EVH GmbH,Bornknechtstr. 5,06108,Halle,True,True
55,Aschaffenburger Versorgungs-GmbH,Werkstraße 2,63739,Aschaffenburg,True,True
56,Stromio GmbH,Postfach 1463,39004,Magdeburg,True,True
57,Grünwelt - eine Marke der Stromio GmbH,Girmes-Kreuz-Str. 55,41564,Kaarst,True,True
58,DREWAG - Stadtwerke Dresden GmbH,Friedrich-List-Platz 2,01069,Dresden,True,True
59,ENSO Energie Sachsen Ost AG,Friedrich-List-Platz 2,01069,Dresden,True,True
60,Mark-E Aktiengesellschaft,Körnerstraße 40,58095,Hagen,True,True
61,E WIE EINFACH GmbH,Salierring 47-53,50677,Köln,True,True
62,Stadtwerke Lübeck GmbH,Geniner Straße 80,23560,Lübeck,True,True
63,GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,Dammstr. 68,64625,Bensheim,True,True
64,Städtische Werke AG Kassel,Königstor 3-13,34117,Kassel,True,True
65,energiehoch3 GmbH,Ostring 28,44787,Bochum,True,True
66,SE SAUBER ENERGIE GmbH & Co. KG,Bayenthalgürtel 9,50968,Köln,True,True
67,EnBW Energie Baden-Württemberg AG,Durlacher Allee 93,76131,Karlsruhe,True,True
68,Braunschweiger Versorgungs-AG & Co. KG,Taubenstraße 7,38106,Braunschweig,True,True
69,SWP Stadtwerke Pforzheim GmbH & Co. KG,Sandweg 22,75179,Pforzheim,True,True
70,Energieversorgung Oberhausen AG,Danziger Straße 31,46045,Oberhausen,True,True
71,Grünstromwerk Vertriebs GmbH,Englische Planke 2,20459,Hamburg,True,True
72,Stadtwerke Bielefeld GmbH,Schildescher Str. 16,33611,Bielefeld,True,True
73,Stadtwerke Troisdorf GmbH,Poststr. 105,53840,Troisdorf,True,True
74,Technische Werke Ludwigshafen AG,Industriestraße 3,67063,Ludwigshafen,True,True
75,Dessauer Stromversorgung GmbH,Albrechtstraße 48,06844,Dessau,True,True
76,RhönEnergie Fulda GmbH,Bahnhofstraße 2,36037,Fulda,True,True
