,Firmenname,Ökotest,EcoTopTen,Utopia,Stromauskunft echter Oekostrom
0,Pfalzwerke,True,,,
1,BayWa Ökoenergie,True,,True,
2,Solidarische Ökonomie Bremen,True,,,True
3,BS-Energy - Braunschweiger Versorgungsgesellschaft,True,,,
4,Bürgerwerke,True,,,True
5,DB Energie,True,True,,
6,Enspire Energie - Marke der Stadtwerke Konstanz,True,,,
7,Entega Energie,True,,,
8,EWS Elektrizitätswerke Schönau,True,,,
9,Fair Trade Power Deutschland,True,,,
10,Stadtwerke Flensburg,True,,,
11,Geno Energie,True,,,
12,Nord Stadtwerke,True,,,
13,EnergieGUT,True,,,
14,Energieversorgung Halle (EVH),True,,,
15,Die Heidelberger Solidarstromer,True,,,
16,LichtBlick,True,True,,
17,Mann Naturenergie,True,,,
18,Stadtwerke Müllheim Staufen,True,,,
19,Stadtwerke Münster,True,,,
20,ProEngeno,True,,,
21,Naturstrom,True,,True,True
22,Bürgerinitiative Umweltschutz (BIU),True,,,
23,Klimaschutz+ Energiegenossenschaft,True,,,
24,Die Ökostromer Edingen-Neckarhausen,True,,,
25,Energy4u,True,,,
26,Greenpeace Energy,True,,True,True
27,Prokon Regenerative Energien,True,,,True
28,RhönEnergie Fulda,True,,,
29,Die Schriesheimer Ökostromer,True,,,
30,ProSiebenSat.1 Digital,True,,,
31,Susi Energie,True,,,
32,Wemag/Wemio,True,,,
33,Polarstern,True,,True,True
34,123energie,,True,,
35,BayWa Ökoenergie GmbH,,True,,
36,BayWa r.e. Green Energy Products GmbH,,True,,
37,BS ENERGY Braunschweiger Versorgungs-AG & Co. KG,,True,,
38,Bürgerinitiative Umweltschutz e.V.,,True,,
39,Bürgerwerke eG,,True,,
40,energieGUT GmbH,,True,,
41,energy4u GmbH & Co. KG,,True,,
42,Enspire Energie,,True,,True
43,ENTEGA Energie GmbH,,True,,
44,EVH GmbH,,True,,
45,EWS Elektrizitätswerke Schönau eG / EWS Vertriebs GmbH,,True,,
46,Fair Trade Power Deutschland GmbH,,True,,
47,GENO Energie GmbH,,True,,
48,Greenpeace Energy eG,,True,,
49,MANN Strom,,True,,
50,NATURSTROM AG/ NaturStromHandel GmbH,,True,,
51,NN,,True,,
52,Nordstadtwerke GmbH,,True,,
53,Polarstern Energie,,True,,
54,ProEngeno GmbH und Co. KG,,True,,
55,PROKON Regenerative Energien eG,,True,,
56,Simply Green,,True,,
57,Stadtwerke Flensburg GmbH,,True,,
58,Stadtwerke Müllheim Staufen GmbH,,True,,
59,Stadtwerke Münster GmbH,,True,,
60,susiEnergie,,True,,
61,wemio,,True,,
62,Bremer SolidarStrom,,,True,
63,Die Bürgerwerke,,,True,
64,Entega,,,True,
65,Enspire,,,True,
66,EWS Schönau,,,True,
67,Fair Trade Power,,,True,
68,Grünstromwerk,,,True,
69,Lichtblick,,,True,
70,Mann Strom,,,True,
71,Ökostrom+,,,True,
72,ProEngeno Naturmix Premium,,,True,
73,Prokon,,,True,
74,Baywa,,,,True
75,Bürgerinitiative Umweltschutz,,,,True
76,Heidelberger Solidarstromer,,,,True
77,Ökostromer Edingen-Neckarhausen ,,,,True
78,Schriesheimer Ökostromer,,,,True
79,EWS Elektrizitätswerke Schönau ,,,,True
80,Klimaschutz+Energiegenossenschaft ,,,,True
81,Mann-Naturenergie,,,,True
82,Proengeno,,,,True
83,Savero,,,,True
84,Stadtwerke Müllheim-Staufen,,,,True
