"MaStR-Nr.";"Status";"Anzeige-Name";"Energieträger";"Standort";"Bruttoleistung in kW";"Nettonennleistung in kW";"Hauptbrennstoff/Lage";"Inbetriebnahmedatum";"Technologie";"Anlagenbetreiber";"Zur Einheit registriert";"Netzbetreiber";"Spannungsebene";"EEG Inbetriebnahmedatum";"Zuschlag (EEG-Ausschreibung)";"Thermische Nutzleistung in kW";"Nutzbare Speicherkapazität in kWh";"Genehmigungsbehörde";"Aktenzeichen der Genehmigung";"Genehmigungsdatum";"Meldedatum der Genehmigung";"Meldedatum";"Letzte Aktualisierung";"Zugeordnete Migrationseinheit";"Statistik";"NB-Prüfung"
"SEE930026239651";"In Betrieb";"PV-Anlage Schwarzenbergstraße 42, 97199 Erlach";"Solare Strahlungsenergie";"97199 Ochsenfurt
Schwarzenbergstraße 42
Deutschland";"99,3";"99,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"14.01.2019";"";"natürliche Person (ABR971657128235)";"EEG920931351784";"MDN Main-Donau Netzgesellschaft mbH (SNB973875583315)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"14.01.2019";"";"";"";"";"";"";"";"23.07.2019";"23.07.2019";"";"A";"Ungeprüft"
"SEE920725167508";"In Betrieb";"PV-Anlage CB";"Solare Strahlungsenergie";"08371 Glauchau
Deutschland";"4,05";"3,68";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"12.11.2014";"";"natürliche Person (ABR947783371210)";"EEG967459580340";"Stadtwerke Glauchau Dienstleistungsgesellschaft mbH (SNB963070917732)";"";"12.11.2014";"";"";"";"";"";"";"";"30.07.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE984159174518";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"53359 Rheinbach
Deutschland";"4,32";"4,2";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.12.2011";"";"natürliche Person (ABR993053084182)";"EEG993532030976";"Westnetz GmbH (SNB921897286493)";"";"28.12.2011";"";"";"";"";"";"";"";"29.07.2019";"31.07.2019";"";"A";"Abgeschlossen"
"SEE938373453263";"In Betrieb";"Solardach-West";"Solare Strahlungsenergie";"59427 Unna
Deutschland";"7,14";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.07.2013";"";"natürliche Person (ABR902334954953)";"EEG935881262097";"Stadtwerke Unna GmbH (SNB944150243392)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"19.07.2013";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Ungeprüft"
"SEE921518767080";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"85304 Ilmmünster
Deutschland";"6,9";"6,9";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"22.08.2011";"";"natürliche Person (ABR949057617116)";"EEG948562021067";"Bayernwerk Netz GmbH (SNB940352624434)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"22.08.2011";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE909546065637";"In Betrieb";"Speicher zur Solaranlage  Hainigstr. 72 Senec";"Speicher";"36341 Lauterbach
Deutschland";"2,5";"2,5";"";"25.08.2016";"";"natürliche Person (ABR944843548131)";"EEG951420010004
SSE901562257737";"Stadtwerke Lauterbach GmbH (SNB980345455409)";"";"25.08.2016";"";"";"10";"";"";"";"";"01.08.2019";"05.08.2019";"";"A";"Abgeschlossen"
"SEE900294030915";"In Betrieb";"Apropart-PV-Strom";"Solare Strahlungsenergie";"28870 Ottersberg
Deutschland";"9,88";"9,88";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"28.08.2015";"";"Heinrichs und Paul GbR";"EEG989294704903";"Elektrizitäts-Werk Ottersberg (SNB916008519201)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"28.08.2015";"";"";"";"";"";"";"";"15.07.2019";"15.07.2019";"";"A";"Ungeprüft"
"SEE946953208486";"In Betrieb";"Hausdach";"Solare Strahlungsenergie";"45527 Hattingen
Deutschland";"3,26";"3,26";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"19.12.2009";"";"natürliche Person (ABR998871013048)";"EEG973014862677";"AVU Netz GmbH (SNB967794191157)";"";"19.12.2009";"";"";"";"";"";"";"";"14.07.2019";"14.07.2019";"";"A";"Abgeschlossen"
"SEE956158900597";"In Betrieb";"Mct-Photovoltaik";"Solare Strahlungsenergie";"59174 Kamen
Deutschland";"7,56";"6";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"05.08.2013";"";"natürliche Person (ABR938806539601)";"EEG995736239469";"GSW Gemeinschaftsstadtwerke GmbH Kamen, Bönen, Bergkamen (SNB935600499711)";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"05.08.2013";"";"";"";"";"";"";"";"01.08.2019";"01.08.2019";"";"A";"Ungeprüft"
"SEE981212066735";"In Betrieb";"PV-Anlage  - Solarfassade VG";"Solare Strahlungsenergie";"52070 Aachen
Deutschland";"4,38";"3,3";"Bauliche Anlagen (Hausdach, Gebäude und Fassade)";"04.06.1991";"";"STAWAG Energie GmbH";"EEG964229105741";"Regionetz GmbH (SNB911641710114)";"";"04.06.1991";"";"";"";"";"";"";"";"23.07.2019";"05.08.2019";"";"A";"Abgeschlossen"
