Energieversorgungsunternehmen (EVU),Ökostrom-Tarif,"Label(laut Website des EVU oderdes Label-Anbieters)","Grundpreispro Jahr in €(brutto)","Arbeitspreispro kWh in €(brutto)","Jahresgesamtpreis in €bei einem Jahresver-brauch von 3.500 kWh"
1,BS|Naturstrom Gold,Grüner Strom Label (Gold),"72,00","0,2724","1.025,40"
"",BS|Naturstrom,NEIN,"72,00","0,2652","1.000,20"
"",E.ON DirektStrom öko,NEIN,"85,00","0,2654","1.013,90"
2,E.ON DirektStrom öko 2018,NEIN,"85,00","0,2749","1.047,15"
"",E.ON OptimalStrom öko,NEIN,"85,00","0,2691","1.026,85"
"",E.ON OptimalStrom öko 2018,NEIN,"85,00","0,2786","1.060,10"
Eichsfelder Energie- und Wasserversorgungs GmbH,DUDSTROM Öko,NEIN,"90,00","0,2860","1.091,00"
Elektrizitätsgenossenschaft Hasbergen eG,kein Ökostrom-Tarif,,,,
"",EW o.k. Naturstrom Kontingent 1000,NEIN,"71,40","0,2499","946,05"
"",EW o.k. Naturstrom Kontingent 2000,NEIN,"83,30","0,2499","957,95"
"",EW o.k. Naturstrom Kontingent 500,NEIN,"65,45","0,2499","940,10"
"",Grundversorgung Naturstrom Kontingent 1000,NEIN,"66,90","0,2670","1.001,40"
"",Grundversorgung Naturstrom Kontingent 2000,NEIN,"78,80","0,2670","1.013,30"
"",Grundversorgung Naturstrom Kontingent 500,NEIN,"60,95","0,2670","995,45"
"",Naturstrom EW o.k.,NEIN,"59,50","0,2618","975,80"
"",Naturstrom GT,NEIN,"55,00","0,2789","1.031,15"
Energiegenossenschaft für Wittmund eG,EG NaturWatt®,TÜV NORD (Standard A75-S026-1),"65,45","0,2662","997,15"
"",Classic,4KlimaINVEST Ökostrom,"72,00","0,2720","1.024,00"
"",Favorit 24,4KlimaINVEST Ökostrom,"96,00","0,2490","967,50"
3Energieversorgung Dahlenburg-Bleckede AG,Garant 24,4KlimaINVEST Ökostrom,"60,00","0,2580","963,00"
"",Nachtaktiv,4KlimaINVEST Ökostrom,"129,00","0,2610","1.042,50"
"",Natur 24,KlimaINVEST RE,"72,00","0,2595","980,25"
"",Sehnder ÖKOSTROM Fix,KlimaINVEST Ökostrom,"111,36","0,2625","1.030,11"
"",Sehnder ÖKOSTROM,KlimaINVEST Ökostrom,"111,36","0,2645","1.037,11"
"",EVI BioStrom,KlimaINVEST Ökostrom,"88,90","0,2638","1.012,20"
"",EVI AquaStrom,NEIN,"99,00","0,2818","1.085,30"
"",EWE Werder Strom,NEIN,"71,40","0,2770","1.040,90"
