name
17er Oberlandenergie
24/7 Energie
Abens-Donau Energie
Abita
AggerEnergie
Albstadtwerke
Albwerk
ALDI
Allgäuer KW
Allgäuer ÜW
Ammer-Loisach Energie
Aschaffenburger VG
AVU Gevelsberg
B-C Ansbach
EG Allgäu Ost
EV Alzenau
EV Apolda
EW Aach
Ewa Altenburg
FG Albstadt-Gammertingen
FG Albstadt-Winterlingen
GV Angermünde
GW Ammerbuch
Stadtwerke Aalen
Stadtwerke Achim
Stadtwerke Ahaus
Stadtwerke Ahlen
Stadtwerke Ahrensburg
Stadtwerke Aibling
Stadtwerke Altdorf
Stadtwerke Altena
Stadtwerke Altensteig
Stadtwerke Amberg
Stadtwerke Andernach Energie
Stadtwerke Annaberg-Buchholz
Stadtwerke Annweiler
Stadtwerke Ansbach
Stadtwerke Arnsberg
Stadtwerke Arnstadt
Stadtwerke Aschersleben
Stadtwerke Aue
Stadtwerke Augsburg
SV Angermünde
backnangstrom
Bad Honnef
Bad Lauterberg Energie
Bauer Elektroanlagen Süd
Bayerische Rhöngas
BEenergie
BELKAW
Benergie-Service
Berlin Stadtwerke EnergiePartner
BeSte
BEW Wipperfürth
Biedenkopf
BIGGE ENERGIE
Blomberger VB
Bocholter EW
Bonus Strom
BTB Berlin
Buchauer EW
Burgenland Energie
Erdgas Burgbernheim
EV Bad Bentheim
EV Bad Boll
EV Beckum
EV Buching
EV Butzbach
EV Böbing
EW Bitz
EW Bruchmühlbach
EWV Baesweiler
EWV Bünde
EWW Bautzen
Gaswerk Bad Sooden
Gem. Burtenbach
GuW Bous-Schwalbach
GV Baar
GV Bad Rodach
GV Biedenkopf
GW Bad Sassendorf
GW Baiersbronn
GW Bayerisch Gmain
GW Bobenheim
GW Bordesholm
GW Bovenden
GW Brüggen
GW Budenheim
GW Börnsen
Stadtwerke Backnang
Stadtwerke Bad Belzig
Stadtwerke Bad Bergzabern
Stadtwerke Baden Baden
Stadtwerke Bad Harzburg
Stadtwerke Bad Herrenalb
Stadtwerke Bad Hersfeld
Stadtwerke Bad Homburg
Stadtwerke Bad Kissingen
Stadtwerke Bad Kreuznach
Stadtwerke Bad Nauheim
Stadtwerke Bad Pyrmont
Stadtwerke Bad Rodach
Stadtwerke Bad Saulgau
Stadtwerke Bad Sooden
Stadtwerke Bad Säckingen
Stadtwerke Bad Tölz
Stadtwerke Bad Urach
Stadtwerke Bad Windsheim
Stadtwerke Balingen
Stadtwerke Balve
