Anbieter	Produkt
Pfalzwerke	123 Ökostrom Premium
BayWa Ökoenergie	BayWa Ökostrom 12
Solidarische Ökonomie Bremen	Bremer SolidarStrom
BS-Energy - Braunschweiger Versorgungsgesellschaft	BS Naturstrom Gold
Bürgerwerke	Bürgerstrom
DB Energie	DB Strom Option Grün plus 12
Enspire Energie - Marke der Stadtwerke Konstanz	Enspire - grüner Strom
Entega Energie	Entega Ökostrom maxi
EWS Elektrizitätswerke Schönau	EWS Ökostrom
Fair Trade Power Deutschland	Fair
Stadtwerke Flensburg	Flensburg eXtra öko
Geno Energie	Geno Strom Natur privat Plus
Nord Stadtwerke	Gröönstrom
EnergieGUT	HalloNatur
Energieversorgung Halle (EVH)	Halplus Strom Öko+
Die Heidelberger Solidarstromer	Heidelberger Solidarstrom
LichtBlick	LichtBlick Strom
Mann Naturenergie	Mann Strom 2017
Stadtwerke Müllheim Staufen	Markgräfler mit OK-Power
Stadtwerke Münster	Münster.natürlich
ProEngeno	Naturmix Premium
Naturstrom	Naturstrom
Bürgerinitiative Umweltschutz (BIU)	Naturstrom ÖkostromPool
Klimaschutz+ Energiegenossenschaft	Ökostrom+
Die Ökostromer Edingen-Neckarhausen	Ökostrom+
Energy4u	ökostrom4u
Greenpeace Energy	Ökostrom aktiv
Prokon Regenerative Energien	Prokon Strom
RhönEnergie Fulda	RhönStromNatur
Die Schriesheimer Ökostromer	Schriesheimer Ökostrom+
ProSiebenSat.1 Digital	SimplyGreen Ökostrom
Susi Energie	Susi Ökostrom fix
Wemag/Wemio	Wemio-Ökoaktivstrom
Polarstern	Wirklich Ökostrom
